id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Latitude;Longitude;Vorstadt;Viertel;reference;Grundobrigkeit
105;Servitengasse 87;87;63;;;Servitengasse;48.2201101;16.3643838;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
106;Servitengasse 88;88;64;;;Servitengasse;48.2199004;16.3643525;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
107;Servitengasse 89;89;65;;;Servitengasse;48.2199073;16.3641177;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
108;Servitengasse 90;90;66;;P. P. Serviten;Servitengasse;48.2205376;16.3638239;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
109;Grüne Thorgasse 91;91;67;;;Grüne Thorgasse;48.2209871;16.3625563;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
110;Porzellangasse 92;92;100;;;Porzellangasse;48.2212709;16.3608261;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
111;Schmiedgasse 93;93;101;;;Schmiedgasse;48.2207252;16.3609009;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
112;Schmiedgasse 94;94;102;;;Schmiedgasse;48.2204287;16.3612469;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
113;Schmiedgasse 95;95;103;;;Schmiedgasse;48.220161;16.3615964;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
114;Schmiedgasse 96;96;104;;;Schmiedgasse;48.2200394;16.3617547;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
115;Schmiedgasse 97;97;105;;;Schmiedgasse;48.2198737;16.3620033;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
116;Schmiedgasse 98;98;106;;;Schmiedgasse;48.2196548;16.3624293;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
