id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
228;Fuhrmannsgasse 228;228;206;93;;Fuhrmannsgasse;Stift Schotten;48.2193434;16.352802;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
229;Fuhrmannsgasse 229;229;205;92;K. K. Botanischer Garten;Fuhrmannsgasse;Stift Schotten;48.2195188;16.3530601;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
230;Fuhrmannsgasse 230;230;214;116;;Fuhrmannsgasse;Magistrat der Stadt Wien;48.2205094;16.3556025;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
231;Währingergasse 231;231;213;"117;118";;Währingergasse;Magistrat der Stadt Wien;48.220628;16.355427;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
232;Währingergasse 232;232;247;;K. K. Militär-Montur-Depot;Währingergasse;Magistrat der Stadt Wien;48.2210975;16.3547172;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
233;Währingergasse 282;282;;;;Währingergasse;Magistrat der Stadt Wien;48.2208482;16.3551044;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
234;Währingergasse 233;233;212;119;Lazareth zum allgemeinen Krankenhause;Währingergasse;Stift Schotten;48.221524;16.3542113;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
235;Am Alserbach 234;234;207;91;;Am Alserbach;Stift Schotten;48.2207966;16.3529233;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
236;Am Alserbach 235;235;211;90;P. P. Serviten;Am Alserbach;"Magistrat der Stadt Wien;Stift Schotten";48.2221276;16.353726;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
237;Am Alserbach 236;236;210;212;;Am Alserbach;Magistrat der Stadt Wien;48.2226951;16.3536925;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
238;Am Alserbach 237;237;209;209;;Am Alserbach;Magistrat der Stadt Wien;48.2229531;16.353806;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
