id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
166;Schloßgasse 128;128;101;;;Schloßgasse;Herrschaft Hundsthurm;Hundsthurm;48.1879577;16.3490818;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
167;Schloßgasse 129;129;102;;;Schloßgasse;Herrschaft Hundsthurm;Hundsthurm;48.1879968;16.3495952;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
168;Zwerchgasse 130;130;103;;Herrschaft Hundsthurm;Zwerchgasse;Herrschaft Hundsthurm;Hundsthurm;48.187792;16.3497359;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
169;Zwerchgasse 131;131;104;;;Zwerchgasse;Herrschaft Hundsthurm;Hundsthurm;48.1875685;16.3498742;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
170;Schmidtgasse 126;126;99;;;Schmidtgasse;Herrschaft Hundsthurm;Hundsthurm;48.1880968;16.3481791;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
171;Schmidtgasse 125;125;95;;;Schmidtgasse;Herrschaft Hundsthurm;Hundsthurm;48.1881421;16.3485871;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
172;Schmidtgasse 124;124;94;;;Schmidtgasse;Herrschaft Hundsthurm;Hundsthurm;48.1881734;16.3489716;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
173;Schmidtgasse 123;123;93;;;Schmidtgasse;Herrschaft Hundsthurm;Hundsthurm;48.1882015;16.3493701;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
174;Zwerchgasse 136;136;109;;;Zwerchgasse;Herrschaft Hundsthurm;Hundsthurm;48.1876185;16.3500629;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
175;Zwerchgasse 137;137;"110;110 1/2";;;Zwerchgasse;Herrschaft Hundsthurm;Hundsthurm;48.1878303;16.3499223;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
176;Obere Schloßgasse 134;134;107;;;Obere Schloßgasse;Herrschaft Hundsthurm;Hundsthurm;48.1877482;16.3509984;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
177;Obere Schloßgasse 135;135;108;;;Obere Schloßgasse;Herrschaft Hundsthurm;Hundsthurm;48.1877084;16.3508214;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
190;Obere Schloßgasse 133;133;106;;;Obere Schloßgasse;Herrschaft Hundsthurm;Hundsthurm;48.1878068;16.3512516;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
191;Obere Schloßgasse 132;132;105;;;Obere Schloßgasse;Herrschaft Hundsthurm;Hundsthurm;48.1878819;16.3516338;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
246;Kugelgasse 147;147;81;79;;Kugelgasse;Herrschaft Hundsthurm;Hundsthurm;48.188103;16.3518166;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
247;Kugelgasse 146;146;82;80;;Kugelgasse;Herrschaft Hundsthurm;Hundsthurm;48.1883039;16.3517756;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
248;Kugelgasse 145;145;83;81;;Kugelgasse;Herrschaft Hundsthurm;Hundsthurm;48.1884938;16.3517147;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
249;Kugelgasse 148;148;80;78;;Kugelgasse;Herrschaft Hundsthurm;Hundsthurm;48.1883656;16.3519221;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
250;Schloßgasse 144;144;84;82;;Schloßgasse;Herrschaft Hundsthurm;Hundsthurm;48.188597;16.351547;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
251;Kugelgasse 149;149;79;77;;Kugelgasse;Herrschaft Hundsthurm;Hundsthurm;48.1886032;16.3518202;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
252;Schloßgasse 143;143;116;;;Schloßgasse;Herrschaft Hundsthurm;Hundsthurm;48.1884922;16.3512141;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
253;Schloßgasse 142;142;115;;;Schloßgasse;Herrschaft Hundsthurm;Hundsthurm;48.1883938;16.3509046;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
254;Schloßgasse 141;141;114;;;Schloßgasse;Herrschaft Hundsthurm;Hundsthurm;48.1883234;16.3506385;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
255;Schloßgasse 140;140;113;;;Schloßgasse;Herrschaft Hundsthurm;Hundsthurm;48.188232;16.3503021;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
256;Schloßgasse 139;139;112;;;Schloßgasse;Herrschaft Hundsthurm;Hundsthurm;48.188164;16.3500325;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
257;Zwerchgasse 138;138;111;;;Zwerchgasse;Herrschaft Hundsthurm;Hundsthurm;48.1880304;16.3497933;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
455;Johannagasse 15;15;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1854075;16.3472144;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
456;Johannagasse 14;14;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1857842;16.3472589;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
