id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
324;Gartengasse 53;53;52;125;;Gartengasse;Magistrat der Stadt Wien;Margarethen;48.1886071;16.3599521;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
325;Gartengasse 52;52;51;126;;Gartengasse;Magistrat der Stadt Wien;Margarethen;48.1884571;16.3601021;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
326;Gartengasse 49;49;48;127;;Gartengasse;Magistrat der Stadt Wien;Margarethen;48.188815;16.3600154;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
327;Gartengasse 48;48;47;128;;Gartengasse;Magistrat der Stadt Wien;Margarethen;48.1890651;16.3597317;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
328;Gartengasse 47;47;170;;;Gartengasse;Magistrat der Stadt Wien;Margarethen;48.1892308;16.359584;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
329;Gartengasse 46;46;46;129;;Gartengasse;Magistrat der Stadt Wien;Margarethen;48.1893652;16.3594152;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
330;Zwerggasse 18;18;18;105;;Zwerggasse;Magistrat der Stadt Wien;Margarethen;48.1895356;16.3593707;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
333;Mittersteig 12;12;12;89;;Mittersteig;Magistrat der Stadt Wien;Margarethen;48.1895418;16.3606812;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
334;Schloßgasse 15;15;15;119;;Schloßgasse;Magistrat der Stadt Wien;Margarethen;48.1893011;16.3606367;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
335;Schloßgasse 16;16;16;108;;Schloßgasse;Magistrat der Stadt Wien;Margarethen;48.1895918;16.3603718;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
336;Gartengasse 51;51;50;120;;Gartengasse;Magistrat der Stadt Wien;Margarethen;48.1882883;16.3602686;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
337;Brunngasse 50;50;49;150;;Brunngasse;Magistrat der Stadt Wien;Margarethen;48.1884743;16.3603413;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
338;Schloßgasse 14;14;14;91;;Schloßgasse;Magistrat der Stadt Wien;Margarethen;48.1886962;16.3607656;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
510;Spengergasse 76;76;75;94;;Spengergasse;Magistrat der Stadt Wien;Margarethen;48.1876419;16.355031;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
