id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
89;Lange Gasse 91;91;88;82;;Lange Gasse;Magistrat der Stadt Wien;48.2082739;16.3523864;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
90;Lange Gasse 92;92;89;83;;Lange Gasse;Magistrat der Stadt Wien;48.2084937;16.3523295;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
91;Lange Gasse 93;93;90;84;;Lange Gasse;Magistrat der Stadt Wien;48.208666;16.3522797;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
92;Lange Gasse 94;94;91;85;;Lange Gasse;Magistrat der Stadt Wien;48.2087894;16.3522512;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
93;Lange Gasse 95;95;92;86;;Lange Gasse;Magistrat der Stadt Wien;48.2089617;16.3522132;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
94;Lange Gasse 96;96;93;87;;Lange Gasse;Magistrat der Stadt Wien;48.2091957;16.3521421;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
95;Kaiserstraﬂe 97;97;94;88;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2092905;16.3517957;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
96;Kaiserstraﬂe 98;98;95;89;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2093174;16.3515513;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
97;Kaiserstraﬂe 99;99;96;90;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2093395;16.3512999;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
98;Kaiserstraﬂe 100;100;97;91;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2093585;16.351001;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
