ID;primäres_Label_viecpro;Adresse;alternatives_label_adress1822;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Latitude;Longitude;Stadtviertel
187;Graben, Zum schwarzen Elefanten;Graben 619;619;660;606;;Graben;Magistrat der Stadt Wien;48.20819668;16.37065948;Widmerviertel
188;Graben, Piazolisches Haus;Graben 620;620;661;607;;Graben;Magistrat der Stadt Wien;48.20816709;16.37083544;Widmerviertel
189;Graben, Beim roten Kreuz;Stock im Eisen 622;622;663;609;;Stock im Eisen;Magistrat der Stadt Wien;48.20816161;16.37121036;Widmerviertel
190;;Naglergasse 285;285;307;177;;Naglergasse;Magistrat der Stadt Wien;48.20984922;16.36810408;Schottenviertel
191;Stock im Eisen, Zur roten Rose;Stock im Eisen 625;625;666;612;;Stock im Eisen;Magistrat der Stadt Wien;48.20841229;16.37172684;Widmerviertel
192;Brandstätte, Olberisches Haus;Brandstadt 627;627;668;615;;Brandstadt;Magistrat der Stadt Wien;48.20876446;16.3721566;Kärntnerviertel
193;Brandstätte, Bauernfeindisches Haus;Brandstadt 628;628;669;616;;Brandstadt;Magistrat der Stadt Wien;48.20906428;16.37248437;Kärntnerviertel
194;;Brandstadt 629;629;670;617;;Brandstadt;Magistrat der Stadt Wien;48.20896676;16.37202417;Kärntnerviertel
195;;Brandstadt 630;630;671;618;;Brandstadt;Magistrat der Stadt Wien;48.20905335;16.3719817;Kärntnerviertel
196;Kumpfgasse, Zum schwarzen Adler;Kumpfgasse 831;831;881;888;;Kumpfgasse;Magistrat der Stadt Wien;48.20725609;16.37574686;Kärntnerviertel
197;Brandstätte, Wiegandtisches Haus;Bischofgasse 632;632;673;620;;Bischofgasse;Magistrat der Stadt Wien;48.20925605;16.37290369;Kärntnerviertel
198;Rotenturmstraße, Heusserisches Haus;Bischofgasse 634;634;675;622;;Bischofgasse;Magistrat der Stadt Wien;48.20939194;16.37309608;Kärntnerviertel
199;;Köllnerhofgasse 738;738;784;1379;;Köllnerhofgasse;Magistrat der Stadt Wien;48.2102949;16.37560051;Stubenviertel
200;Lubeck, Poppowitschisches Haus;Haarmarkt 640;640;681;650;;Haarmarkt;Magistrat der Stadt Wien;48.21031792;16.37427676;Stubenviertel
201;Rotenturmstraße, Zum schwarzen Elephant;Rotenturmstraße 647;647;689;677;;Rotenturmstraße;Magistrat der Stadt Wien;48.21134031;16.37576824;Stubenviertel
202;Schönlaterngasse, Zur schönen Laterne;Schönlaterngasse 674;674;718;774;;Schönlaterngasse;Stift Heiligenkreuz;48.2094485;16.3773552;Stubenviertel
203;Heiligenkreuzerhof;Schönlaterngasse 676;676;720;767;Stift zu Heiligenkreuz;Schönlaterngasse;"Ständisch frei;Magistrat redimiert";48.20949494;16.37701305;Stubenviertel
204;Schönlaterngasse, Eberhardisches Haus;Schönlaterngasse 678;678;722;769;;Schönlaterngasse;Stift Heiligenkreuz;48.2096005;16.3774829;Stubenviertel
205;Schönlaterngasse, Heythallerisches Haus;Schönlaterngasse 679;679;723;770;;Schönlaterngasse;Stift Heiligenkreuz;48.2095541;16.3776806;Stubenviertel
206;Schönlaterngasse, Appelisches Haus;Schönlaterngasse 680;680;724;771;;Schönlaterngasse;Stift Heiligenkreuz;48.2095168;16.3778285;Stubenviertel
207;;Weihburggasse 914;914;970;1392;;Weihburggasse;Magistrat der Stadt Wien;48.20585004;16.37511541;Kärntnerviertel
208;Alter Fleischmarkt, Teufelisches Haus;Alter Fleischmarkt 686;686;730;731;;Alter Fleischmarkt;Magistrat der Stadt Wien;48.21011738;16.37836639;Stubenviertel
209;Alter Fleischmarkt, Lindenschützisches Haus;Drachengassel 688;688;732;734;;Drachengassel;Magistrat der Stadt Wien;48.20992725;16.37779907;Stubenviertel
210;Alter Fleischmarkt, Nußbaumerisches Haus;Alter Fleischmarkt 691;691;735;737;;Alter Fleischmarkt;Magistrat der Stadt Wien;48.2103399;16.3776691;Stubenviertel
211;Alter Fleischmarkt, Zum weißen Wolf;Alter Fleischmarkt 694;694;738;740;;Alter Fleischmarkt;Magistrat der Stadt Wien;48.21022203;16.3771224;Stubenviertel
212;Alter Fleischmarkt, Schletzerisches Haus;Alter Fleischmarkt 695;695;739;741;;Alter Fleischmarkt;Magistrat der Stadt Wien;48.21053982;16.37718324;Stubenviertel
213;Alter Fleischmarkt, Bei der goldenen Rose;Alter Fleischmarkt 696;696;740;742;;Alter Fleischmarkt;Magistrat der Stadt Wien;48.2105848;16.3768326;Stubenviertel
214;Alter Fleischmarkt, Zum goldenen Bären;Graßhof 697;697;741;743;;Graßhof;Magistrat der Stadt Wien;48.2105919;16.3765328;Stubenviertel
215;Alter Fleischmarkt, Zwölferisches Haus;Alter Fleischmarkt 698;698;742;744;;Alter Fleischmarkt;Magistrat der Stadt Wien;48.2106513;16.376194;Stubenviertel
216;Alter Fleischmarkt, Plöcknerisches Haus;Alter Fleischmarkt 702;702;746;748;;Alter Fleischmarkt;Magistrat der Stadt Wien;48.2107546;16.37663073;Stubenviertel
217;Alter Fleischmarkt, Stapferisches Haus;Alter Fleischmarkt 704;704;748;746;;Alter Fleischmarkt;Magistrat der Stadt Wien;48.21070748;16.37694481;Stubenviertel
218;Alter Fleischmarkt, Landsperigsches Haus;Alter Fleischmarkt 705;705;749;702;;Alter Fleischmarkt;Magistrat der Stadt Wien;48.21064392;16.37741675;Stubenviertel
219;Alte Bürgermusterung, Zum gelben Adler;Hafnersteig 710;710;754;699;;Hafnersteig;Magistrat der Stadt Wien;48.21103075;16.37740195;Stubenviertel
220;;Seilerstätte 804;804;854;1373;;Seilerstätte;Magistrat der Stadt Wien;48.20573168;16.37553638;Kärntnerviertel
221;Griechengasse, Zum Küssenpfennig;Rotenturmstraße 723;723;769;683;;Rotenturmstraße;Magistrat der Stadt Wien;48.21162906;16.3766373;Stubenviertel
222;Alter Fleischmarkt, Zum goldenen Hirsch;Rotenturmstraße 728;728;774;678;;Rotenturmstraße;Magistrat der Stadt Wien;48.21103513;16.37572466;Stubenviertel
223;Alter Fleischmarkt, Zum goldenen Wolf;Haarmarkt 729;729;775;751;;Haarmarkt;Magistrat der Stadt Wien;48.2108106;16.3754627;Stubenviertel
224;Rotenturmstraße, Pechmannisches Haus;Haarmarkt 733;733;779;755;;Haarmarkt;Magistrat der Stadt Wien;48.2104041;16.374735;Stubenviertel
225;Lubeck, Kirchstetterisches Haus;Haarmarkt 734;734;780;756;;Haarmarkt;Magistrat der Stadt Wien;48.2102609;16.3745635;Stubenviertel
226;Lubeck, Zum schwarzen Bär;Haarmarkt 735;735;781;757;;Haarmarkt;Magistrat der Stadt Wien;48.21013382;16.3743853;Stubenviertel
227;Kölnerhof;Untere Bäckerstraße 737;737;783;759;;Untere Bäckerstraße;Magistrat der Stadt Wien;48.20997821;16.37529794;Stubenviertel
228;Untere Bäckerstraße, Zu der weißen Rose;Untere Bäckerstraße 743;743;789;762;;Untere Bäckerstraße;Magistrat der Stadt Wien;48.20966809;16.37599845;Stubenviertel
229;Untere Bäckerstraße, Walderodisches Haus;Untere Bäckerstraße 745;745;791;764;;Untere Bäckerstraße;Magistrat der Stadt Wien;48.20951248;16.37628458;Stubenviertel
230;Untere Bäckerstraße, Steinhardtisches Haus;Untere Bäckerstraße 746;746;792;765;;Untere Bäckerstraße;Magistrat der Stadt Wien;48.20942919;16.37646053;Stubenviertel
231;Untere Bäckerstraße, Cosmerovisches Haus;Untere Bäckerstraße 747;747;793;766;;Untere Bäckerstraße;Magistrat der Stadt Wien;48.20934701;16.37663813;Stubenviertel
232;Untere Bäckerstraße, Marquardtisches Haus;Untere Bäckerstraße 748;748;794;776;Griechische Gemeinde;Untere Bäckerstraße;Magistrat der Stadt Wien;48.20922975;16.37691767;Stubenviertel
233;Obere Bäckerstraße, Jesuiten Haus;Untere Bäckerstraße 749;749;795;777;Altes Universitätshaus;Untere Bäckerstraße;Magistrat der Stadt Wien;48.20911907;16.37718571;Stubenviertel
234;Regensburgerhof;Obere Bäckerstraße 751;751;797;784;;Obere Bäckerstraße;Magistrat der Stadt Wien;48.20976891;16.37527492;Stubenviertel
