id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;Latitude;Longitude;reference;Viertel
358;Windmühlgasse 30;30;30;30;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1996937;16.3573935;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
359;Windmühlgasse 31;31;31;31;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1996309;16.3573301;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
360;Windmühlgasse 32;32;32;32;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1995822;16.3572798;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
361;Windmühlgasse 33;33;33;33;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1995454;16.3572262;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
362;Windmühlgasse 34;34;34;34;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1994988;16.3571596;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
363;Windmühlgasse 35;35;35;35;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1994512;16.3570978;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
364;Windmühlgasse 36;36;36;36;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.19937;16.3570036;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
365;Windmühlgasse 37;37;37;37;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1992942;16.3569094;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
366;Windmühlgasse 38;38;38;38;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1992444;16.3568558;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
367;Windmühlgasse 39;39;39;39;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.199187;16.3567843;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
368;Windmühlgasse 40;40;40;40;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1986965;16.3575186;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
369;Windmühlgasse 41;41;90;;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1987258;16.3575981;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
