id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;Latitude;Longitude;reference;Viertel
164;Kothgasse 164;164;148;67;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1993844;16.360052;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
165;Kothgasse 165;165;149;35;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1995518;16.3603404;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
166;Kothgasse 166;166;150;27;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1996653;16.3606676;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
167;Laimgruben-Hauptstraße 174;174;157;1;Zum K. K. Hofstallgebäude gehörig;Laimgruben-Hauptstraße;Stift Schotten;Spittelberg, Mariahilf;48.2017578;16.360312;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
168;Laimgruben-Hauptstraße 175;175;158;2;;Laimgruben-Hauptstraße;Stift Schotten;Spittelberg, Mariahilf;48.2016701;16.3601805;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
169;Laimgruben-Hauptstraße 176;176;159;3;Zum K. K. Hofstallgebäude gehörig;Laimgruben-Hauptstraße;Stift Schotten;Spittelberg, Mariahilf;48.2015934;16.3600774;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
170;Laimgruben-Hauptstraße 177;177;160;4;;Laimgruben-Hauptstraße;Stift Schotten;Spittelberg, Mariahilf;48.2015177;16.3599355;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
171;Laimgruben-Hauptstraße 178;178;161;5;;Laimgruben-Hauptstraße;Stift Schotten;Spittelberg, Mariahilf;48.2014739;16.3598413;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
172;Laimgruben-Hauptstraße 179;179;162;6;;Laimgruben-Hauptstraße;Stift Schotten;Spittelberg, Mariahilf;48.2014162;16.3597024;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
173;Laimgruben-Hauptstraße 180;180;163;7;;Laimgruben-Hauptstraße;Stift Schotten;Spittelberg, Mariahilf;48.2013454;16.3595634;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
174;Laimgruben-Hauptstraße 181;181;164;8;;Laimgruben-Hauptstraße;Stift Schotten;Spittelberg, Mariahilf;48.2012837;16.3594095;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
175;Laimgruben-Hauptstraße 182;182;165;9;;Laimgruben-Hauptstraße;Stift Schotten;Spittelberg, Mariahilf;48.2012299;16.359269;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
176;Laimgruben-Hauptstraße 183;183;166;10;;Laimgruben-Hauptstraße;Stift Schotten;Spittelberg, Mariahilf;48.2011851;16.359151;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
177;Laimgruben-Hauptstraße 184;184;167;11;;Laimgruben-Hauptstraße;"Stift Schotten;Militär-Ingenieur-Akademie-Grundbuch";Spittelberg, Mariahilf;48.2011164;16.3589209;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
178;Laimgruben-Hauptstraße 185;185;168;12;K. K. Kaserne für die Hofburgwache;Laimgruben-Hauptstraße;Militär-Ingenieur-Akademie-Grundbuch;Spittelberg, Mariahilf;48.2010148;16.3581827;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
179;Laimgruben-Hauptstraße 186;186;169;13;K. K. Ingenieur-Akademie;Laimgruben-Hauptstraße;Militär-Ingenieur-Akademie-Grundbuch;Spittelberg, Mariahilf;48.2007529;16.3570307;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
399;Laimgruben-Hauptstraße 168;168;151;17;;Laimgruben-Hauptstraße;Domkapitel;Spittelberg, Mariahilf;48.2010443;16.3593778;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
400;Laimgruben-Hauptstraße 169;169;152;18;;Laimgruben-Hauptstraße;Domkapitel;Spittelberg, Mariahilf;48.201117;16.3595156;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
401;Laimgruben-Hauptstraße 170;170;153;19;;Laimgruben-Hauptstraße;Domkapitel;Spittelberg, Mariahilf;48.2011811;16.3596507;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
402;Laimgruben-Hauptstraße 171;171;154;20;;Laimgruben-Hauptstraße;Domkapitel;Spittelberg, Mariahilf;48.2012366;16.3597547;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
403;Laimgruben-Hauptstraße 172;172;155;21;;Laimgruben-Hauptstraße;Domkapitel;Spittelberg, Mariahilf;48.2012972;16.359869;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
404;Laimgruben-Hauptstraße 173;173;156;22;;Laimgruben-Hauptstraße;Domkapitel;Spittelberg, Mariahilf;48.201357;16.3599977;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
180;Rückwärts am Spittelberg 187;187;170;14;;Rückwärts am Spittelberg;Militär-Ingenieur-Akademie-Grundbuch;Spittelberg, Mariahilf;48.2027049;16.3568036;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
181;Rückwärts am Spittelberg 188;188;171;15;;Rückwärts am Spittelberg;"Stift Schotten; Militär-Ingenieur-Akademie-Grundbuch";Spittelberg, Mariahilf;48.2028045;16.3570098;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
182;Rückwärts am Spittelberg 189;189;172;16;;Rückwärts am Spittelberg;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2028861;16.357207;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
