id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;Latitude;Longitude;reference;Viertel
60;Pfarrgasse 60;60;54;148;;Pfarrgasse;Domkapitel;Spittelberg, Mariahilf;48.1986584;16.3598488;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
61;Pfarrgasse 61;61;55;147;;Pfarrgasse;Domkapitel;Spittelberg, Mariahilf;48.198506;16.3599848;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
62;Pfarrgasse 62;62;56;146;;Pfarrgasse;Domkapitel;Spittelberg, Mariahilf;48.1983865;16.3600909;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
63;Pfarrgasse 63;63;57;145;;Pfarrgasse;Domkapitel;Spittelberg, Mariahilf;48.1982789;16.360182;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
64;Pfarrgasse 64;64;58;144;;Pfarrgasse;Domkapitel;Spittelberg, Mariahilf;48.1981614;16.3602926;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
65;Pfarrgasse 65;65;59;143;;Pfarrgasse;Domkapitel;Spittelberg, Mariahilf;48.1980528;16.3603897;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
66;Pfarrgasse 66;66;60;142;;Pfarrgasse;Domkapitel;Spittelberg, Mariahilf;48.1979114;16.3605526;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
67;Pfarrgasse 67;67;61;141;;Pfarrgasse;Domkapitel;Spittelberg, Mariahilf;48.1976893;16.3607154;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
68;An der Wien 68;68;62;51;;An der Wien;Domkapitel;Spittelberg, Mariahilf;48.1976166;16.3604256;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
69;An der Wien 69;69;63;52;K. K. Wagenbehältnis;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1975897;16.3599683;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
70;An der Wien 70;70;64;53;K. K. Heuwage;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1975638;16.3592242;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
71;An der Wien 71;71;65;54;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1974911;16.3589104;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
72;Gärtnergasse 77;77;71;238;;Gärtnergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1974502;16.3585802;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
73;Gärtnergasse 78;78;72;55;;Gärtnergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1976166;16.3584069;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
74;Gärtnergasse 79;79;73;56;;Gärtnergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1977968;16.3582171;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
75;Gärtnergasse 80;80;74;57;;Gärtnergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1979771;16.3580378;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
76;Gärtnergasse 81;81;75;58;;Gärtnergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1981255;16.3578854;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
77;Gärtnergasse 82;82;76;59;;Gärtnergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1983944;16.3576239;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
78;Gärtnergasse 83;83;173;0;;Gärtnergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1982072;16.3575551;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
79;Gärtnergasse 84;84;77;109;;Gärtnergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1980548;16.3577165;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
80;Gärtnergasse 85;85;78;110;;Gärtnergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1979064;16.3578704;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
81;Gärtnergasse 86;86;79;111;;Gärtnergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.197763;16.3580139;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
82;Gärtnergasse 87;87;176;0;;Gärtnergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1976245;16.3581603;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
83;An der Wien 88;88;80;112;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1973516;16.3583157;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
84;An der Wien 89;89;81;113;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1972988;16.358108;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
85;An der Wien 90;90;82;114;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.197263;16.3579571;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
86;An der Wien 91;91;83;115;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1972092;16.3577419;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
87;Kanalgasse 92;92;84;116;;Kanalgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1974672;16.357337;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
88;Kanalgasse 93;93;85;117;;Kanalgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1976056;16.3571726;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
89;Kanalgasse 94;94;86;118;;Kanalgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1977401;16.3570232;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
90;Kanalgasse 95;95;87;136;;Kanalgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1978915;16.3568693;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
91;Kanalgasse 96;96;88;136;;Kanalgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1981245;16.3566213;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
92;Kanalgasse 97;97;89;101;;Kanalgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1980797;16.3563986;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
93;Kanalgasse 98;98;90;119;;Kanalgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1977032;16.356814;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
94;Kanalgasse 99;99;187;0;;Kanalgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1974642;16.35708;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
95;An der Wien 72;72;66;83;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1972899;16.3590449;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
96;An der Wien 73;73;67;82;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.197258;16.3588133;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
97;An der Wien 74;74;68;81;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1972182;16.358501;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
98;An der Wien 75;75;69;80;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1971843;16.358232;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
99;An der Wien 76;76;70;79;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1971156;16.3579885;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
100;An der Wien 100;100;91;70;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.197018;16.3573818;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
101;An der Wien 101;101;92;71;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1969204;16.3570053;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
