id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;Viertel;Latitude;Longitude;reference
827;Strotzische Hauptstraﬂe 43;43;14;;;Strotzische Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.20781;16.3489371;Behsel Stadtplan, WStLA, P1: 295/12G
828;Strotzische Hauptstraﬂe 44;44;13;;;Strotzische Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2076589;16.3489754;Behsel Stadtplan, WStLA, P1: 295/12G
829;Strotzische Hauptstraﬂe 45;45;12;;;Strotzische Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2075276;16.3489999;Behsel Stadtplan, WStLA, P1: 295/12G
830;Strotzische Hauptstraﬂe 46;46;11;;;Strotzische Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2074009;16.3490278;Behsel Stadtplan, WStLA, P1: 295/12G
831;Strotzische Hauptstraﬂe 47;47;10;;;Strotzische Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2072474;16.3490609;Behsel Stadtplan, WStLA, P1: 295/12G
832;Strotzische Hauptstraﬂe 48;48;9;;;Strotzische Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2071102;16.3490853;Behsel Stadtplan, WStLA, P1: 295/12G
833;Strotzische Hauptstraﬂe 49;49;8;;;Strotzische Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2070114;16.3491115;Behsel Stadtplan, WStLA, P1: 295/12G
834;Strotzische Hauptstraﬂe 50;50;7;;;Strotzische Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2069138;16.3491376;Behsel Stadtplan, WStLA, P1: 295/12G
835;Strotzische Hauptstraﬂe 51;51;6;;;Strotzische Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2067755;16.3491551;Behsel Stadtplan, WStLA, P1: 295/12G
836;Altlerchenfelder-Hauptstraﬂe 52;52;5;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2064848;16.3491307;Behsel Stadtplan, WStLA, P1: 295/12G
837;Altlerchenfelder-Hauptstraﬂe 53;53;4;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2065093;16.3488551;Behsel Stadtplan, WStLA, P1: 295/12G
838;Altlerchenfelder-Hauptstraﬂe 54;54;3;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2065406;16.3485812;Behsel Stadtplan, WStLA, P1: 295/12G
839;Altlerchenfelder-Hauptstraﬂe 55;55;2;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.2065662;16.3483161;Behsel Stadtplan, WStLA, P1: 295/12G
840;Altlerchenfelder-Hauptstraﬂe 56;56;1;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Strozzigrund;48.206622;16.3480876;Behsel Stadtplan, WStLA, P1: 295/12G
