id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
414;Matzleinsdorfer Hauptstraﬂe 10;10;10;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1841882;16.3614901;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
415;Matzleinsdorfer Hauptstraﬂe 9;9;9;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1842664;16.3616636;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
416;Matzleinsdorfer Hauptstraﬂe 42;42;40;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1841867;16.3609509;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
417;Matzleinsdorfer Hauptstraﬂe 43;43;41;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1842664;16.3610728;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
418;Matzleinsdorfer Hauptstraﬂe 44;44;42;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1843492;16.361183;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
419;Matzleinsdorfer Hauptstraﬂe 45;45;43;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1844399;16.3612978;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
420;Matzleinsdorfer Hauptstraﬂe 46;46;44;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1845243;16.3614127;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
421;Matzleinsdorfer Hauptstraﬂe 47;47;45;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1846275;16.3615464;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
422;Matzleinsdorfer Hauptstraﬂe 48;48;46;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1847213;16.361673;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
423;Matzleinsdorfer Hauptstraﬂe 49;49;47;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.184826;16.3618043;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
