id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
1025;Hauptstraﬂe 198;198;178;172;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1965146;16.395756;Behsel Stadtplan, WStLA, P1: 295/8;
1026;Hahnelgasse 199;199;179;171;;Hahnelgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1964987;16.3954222;Behsel Stadtplan, WStLA, P1: 295/8;
1027;Hahnelgasse 200;200;180;170;;Hahnelgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1964798;16.3951718;Behsel Stadtplan, WStLA, P1: 295/8;
1028;Hahnelgasse 201;201;181;169;;Hahnelgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1964589;16.3949677;Behsel Stadtplan, WStLA, P1: 295/8;
1029;Hahnelgasse 202;202;182;168;;Hahnelgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1964401;16.3947695;Behsel Stadtplan, WStLA, P1: 295/8;
1030;Hahnelgasse 203;203;183;167;;Hahnelgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1964252;16.3946279;Behsel Stadtplan, WStLA, P1: 295/8;
1031;Hauptstraﬂe 211;211;191;159;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1966636;16.395677;Behsel Stadtplan, WStLA, P1: 295/8;
1032;Hauptstraﬂe 210;210;190;160;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1966119;16.3954222;Behsel Stadtplan, WStLA, P1: 295/8;
1033;Hahnelgasse 209;209;189;161;;Hahnelgasse;Magistrat der Stadt Wien;Landstraﬂe;48.196592;16.3951361;Behsel Stadtplan, WStLA, P1: 295/8;
1034;Hahnelgasse 208;208;188;162;;Hahnelgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1965692;16.3948798;Behsel Stadtplan, WStLA, P1: 295/8;
1035;Hahnelgasse 207;207;187;163;;Hahnelgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1965593;16.3946801;Behsel Stadtplan, WStLA, P1: 295/8;
1036;Haltergasse 212;212;523;;;Haltergasse;Magistrat der Stadt Wien;Landstraﬂe;48.1966318;16.3944297;Behsel Stadtplan, WStLA, P1: 295/8;
1037;Hahnelgasse 204;204;184;166;;Hahnelgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1964162;16.3944923;Behsel Stadtplan, WStLA, P1: 295/8;
1038;Hahnelgasse 205;205;185;165;;Hahnelgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1964103;16.3943508;Behsel Stadtplan, WStLA, P1: 295/8;
1039;Hahnelgasse 206;206;186;164;;Hahnelgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1963934;16.3941019;Behsel Stadtplan, WStLA, P1: 295/8;
1040;Haltergasse 213;213;192;391;;Haltergasse;Magistrat der Stadt Wien;Landstraﬂe;48.1966079;16.3941377;Behsel Stadtplan, WStLA, P1: 295/8;
1041;Haltergasse 214;214;193;452;Zum k. k. Lustgeb‰ude gehˆrig;Haltergasse;"St‰ndisch frei;Magistrat der Stadt Wien;Kommende St. Johann;Herrschaft Schaumburgerhof;Stift Schotten;Nuﬂdorfer Stiftung;P. P. Dominikaner";Landstraﬂe;48.1965911;16.3938277;Behsel Stadtplan, WStLA, P1: 295/8;
1042;Hauptstraﬂe 224;224;203;148;;Hauptstraﬂe;"Magistrat der Stadt Wien;Stift Schotten";Landstraﬂe;48.1969447;16.3955161;Behsel Stadtplan, WStLA, P1: 295/8;
1043;Hahnelgasse 223;223;202;150;;Hahnelgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1967937;16.39499;Behsel Stadtplan, WStLA, P1: 295/8;
1044;Hahnelgasse 222;222;201;151;;Hahnelgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1967887;16.3948008;Behsel Stadtplan, WStLA, P1: 295/8;
1045;Hahnelgasse 221;221;200;152;;Hahnelgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1967599;16.3946279;Behsel Stadtplan, WStLA, P1: 295/8;
1046;Haltergasse 220;220;199;153;;Haltergasse;Magistrat der Stadt Wien;Landstraﬂe;48.196749;16.3944208;Behsel Stadtplan, WStLA, P1: 295/8;
1047;Haltergasse 219;219;198;154;;Haltergasse;Magistrat der Stadt Wien;Landstraﬂe;48.1967311;16.3941749;Behsel Stadtplan, WStLA, P1: 295/8;
1048;Haltergasse 218;218;197;155;;Haltergasse;Magistrat der Stadt Wien;Landstraﬂe;48.1967162;16.3939812;Behsel Stadtplan, WStLA, P1: 295/8;
1049;Haltergasse 217;217;196;156;;Haltergasse;Magistrat der Stadt Wien;Landstraﬂe;48.1967063;16.3938143;Behsel Stadtplan, WStLA, P1: 295/8;
1050;Haltergasse 216;216;195;157;;Haltergasse;Magistrat der Stadt Wien;Landstraﬂe;48.1966894;16.3935923;Behsel Stadtplan, WStLA, P1: 295/8;
1051;Haltergasse 215;215;194;158;;Haltergasse;Magistrat der Stadt Wien;Landstraﬂe;48.1966864;16.3933911;Behsel Stadtplan, WStLA, P1: 295/8;
1052;Hauptstraﬂe 133;133;132;203;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1969437;16.3959229;Behsel Stadtplan, WStLA, P1: 295/8;
1053;Hauptstraﬂe 132;132;131;204;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1972049;16.3957754;Behsel Stadtplan, WStLA, P1: 295/8;
1054;Hauptstraﬂe 131;131;130;205;;Hauptstraﬂe;"Magistrat der Stadt Wien;Stift Schotten";Landstraﬂe;48.1974125;16.3956293;Behsel Stadtplan, WStLA, P1: 295/8;
1055;Hauptstraﬂe 225;225;496;;;Hauptstraﬂe;"Magistrat der Stadt Wien;Stift Schotten";Landstraﬂe;48.1972039;16.3953372;Behsel Stadtplan, WStLA, P1: 295/8;
1056;Hauptstraﬂe 226;226;497;;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1973887;16.3951793;Behsel Stadtplan, WStLA, P1: 295/8;
1059;Hauptstraﬂe 130;130;129;206;;Hauptstraﬂe;"Magistrat der Stadt Wien;Stift Schotten";Landstraﬂe;48.1976251;16.3955131;Behsel Stadtplan, WStLA, P1: 295/8;
1060;Hauptstraﬂe 227;227;498;;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1975794;16.3950511;Behsel Stadtplan, WStLA, P1: 295/8;
1061;Hauptstraﬂe 229;229;499;;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1979022;16.3948202;Behsel Stadtplan, WStLA, P1: 295/8;
1062;Hauptstraﬂe 129;129;128;207;;Hauptstraﬂe;"Magistrat der Stadt Wien;Herrschaft Seegenthal";Landstraﬂe;48.198077;16.39523;Behsel Stadtplan, WStLA, P1: 295/8;
1063;Hauptstraﬂe 128;128;127;208;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1983293;16.3950705;Behsel Stadtplan, WStLA, P1: 295/8;
1064;Hauptstraﬂe 230;230;500;;;Hauptstraﬂe;"Magistrat der Stadt Wien;P. P. Dominikaner";Landstraﬂe;48.198081;16.3946846;Behsel Stadtplan, WStLA, P1: 295/8;
1065;Hauptstraﬂe 231;231;205;147;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1982528;16.3945728;Behsel Stadtplan, WStLA, P1: 295/8;
1066;Hauptstraﬂe 232;232;206;146;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1984277;16.3944864;Behsel Stadtplan, WStLA, P1: 295/8;
1067;Hauptstraﬂe 127;127;126;209;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1984535;16.3949707;Behsel Stadtplan, WStLA, P1: 295/8;
1068;Hauptstraﬂe 126;126;125;210;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1985965;16.3948783;Behsel Stadtplan, WStLA, P1: 295/8;
1069;Hauptstraﬂe 125;125;124;211;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1987544;16.3947546;Behsel Stadtplan, WStLA, P1: 295/8;
1070;Hauptstraﬂe 233;233;207;145;;Hauptstraﬂe;Domkustodie;Landstraﬂe;48.1985945;16.3943686;Behsel Stadtplan, WStLA, P1: 295/8;
1071;Hauptstraﬂe 124;124;123;212;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1988707;16.3946935;Behsel Stadtplan, WStLA, P1: 295/8;
1072;Hauptstraﬂe 123;123;122;213;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1990991;16.3945117;Behsel Stadtplan, WStLA, P1: 295/8;
1073;Hauptstraﬂe 122;122;121;214;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1992402;16.3944059;Behsel Stadtplan, WStLA, P1: 295/8;
1074;Hauptstraﬂe 121;121;120;215;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1993792;16.3942852;Behsel Stadtplan, WStLA, P1: 295/8;
1075;Hauptstraﬂe 235;235;210;141;K. K. Polizeikaserne;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1993802;16.3938411;Behsel Stadtplan, WStLA, P1: 295/8;
1076;Hauptstraﬂe 234;234;"208;209";"142;143;144";;Hauptstraﬂe;"Magistrat der Stadt Wien;Stift Schotten;P. P. Dominikaner;Domkustodie";Landstraﬂe;48.199111;16.3940617;Behsel Stadtplan, WStLA, P1: 295/8;
1077;Hauptstraﬂe 120;120;119;216;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1994567;16.3942315;Behsel Stadtplan, WStLA, P1: 295/8;
1078;Hauptstraﬂe 119;119;118;217;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1995798;16.3941541;Behsel Stadtplan, WStLA, P1: 295/8;
1079;Hauptstraﬂe 118;118;117;218;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1997169;16.3940199;Behsel Stadtplan, WStLA, P1: 295/8;
1080;Hauptstraﬂe 117;117;116;219;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1998619;16.3938799;Behsel Stadtplan, WStLA, P1: 295/8;
1081;Hauptstraﬂe 116;116;115;220;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1999672;16.3937666;Behsel Stadtplan, WStLA, P1: 295/8;
1082;Hauptstraﬂe 115;115;114;221;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2001003;16.3936414;Behsel Stadtplan, WStLA, P1: 295/8;
1083;Hauptstraﬂe 237;237;212;139;;Hauptstraﬂe;"Magistrat der Stadt Wien;Stift Schotten";Landstraﬂe;48.1997388;16.3934865;Behsel Stadtplan, WStLA, P1: 295/8;
1084;Hauptstraﬂe 236;236;211;140;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.19956;16.3936712;Behsel Stadtplan, WStLA, P1: 295/8;
1085;Hauptstraﬂe 238;238;213;138;;Hauptstraﬂe;"Magistrat der Stadt Wien;Stift Schotten";Landstraﬂe;48.1999632;16.3932063;Behsel Stadtplan, WStLA, P1: 295/8;
1086;Hauptstraﬂe 239;239;214;137;;Hauptstraﬂe;Stift Schotten;Landstraﬂe;48.2001162;16.3930513;Behsel Stadtplan, WStLA, P1: 295/8;
1087;Hauptstraﬂe 240;240;215;136;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2002235;16.3929381;Behsel Stadtplan, WStLA, P1: 295/8;
1088;Hauptstraﬂe 241;241;216;135;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2003884;16.3927742;Behsel Stadtplan, WStLA, P1: 295/8;
1089;Hauptstraﬂe 242;242;217;134;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2005632;16.3925804;Behsel Stadtplan, WStLA, P1: 295/8;
1090;Hauptstraﬂe 243;243;218;133;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2007181;16.3924433;Behsel Stadtplan, WStLA, P1: 295/8;
1091;Hauptstraﬂe 244;244;219;132;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2008174;16.392336;Behsel Stadtplan, WStLA, P1: 295/8;
1092;Hauptstraﬂe 245;245;220;131;;Hauptstraﬂe;"Magistrat der Stadt Wien;Herrschaft Seegenthal";Landstraﬂe;48.2009386;16.3922198;Behsel Stadtplan, WStLA, P1: 295/8;
1093;Hauptstraﬂe 246;246;221;130;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2010896;16.392044;Behsel Stadtplan, WStLA, P1: 295/8;
1094;Hauptstraﬂe 114;114;113;222;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2002771;16.3934358;Behsel Stadtplan, WStLA, P1: 295/8;
1095;Hauptstraﬂe 113;113;112;223;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2003784;16.3933315;Behsel Stadtplan, WStLA, P1: 295/8;
1096;Hauptstraﬂe 112;112;111;224;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2004817;16.3931974;Behsel Stadtplan, WStLA, P1: 295/8;
1097;Hauptstraﬂe 111;111;110;225;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2006158;16.3930498;Behsel Stadtplan, WStLA, P1: 295/8;
1098;Hauptstraﬂe 110;110;109;226;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2007539;16.3930156;Behsel Stadtplan, WStLA, P1: 295/8;
1099;Hauptstraﬂe 109;109;108;227;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2008423;16.3928293;Behsel Stadtplan, WStLA, P1: 295/8;
1100;Hauptstraﬂe 108;108;107;228;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.201022;16.3926534;Behsel Stadtplan, WStLA, P1: 295/8;
1101;Hauptstraﬂe 107;107;106;229;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2013081;16.3923196;Behsel Stadtplan, WStLA, P1: 295/8;
1102;Hauptstraﬂe 106;106;105;230;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2015683;16.3920306;Behsel Stadtplan, WStLA, P1: 295/8;
1103;Blumengasse 105;105;104;249;;Blumengasse;Magistrat der Stadt Wien;Landstraﬂe;48.2016935;16.3918994;Behsel Stadtplan, WStLA, P1: 295/8;
1104;Hauptstraﬂe 248;248;223;128;;Hauptstraﬂe;"Magistrat der Stadt Wien;Stift Schotten";Landstraﬂe;48.2013359;16.3917683;Behsel Stadtplan, WStLA, P1: 295/8;
1105;Hauptstraﬂe 247;247;222;129;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2012028;16.3919143;Behsel Stadtplan, WStLA, P1: 295/8;
1106;Hauptstraﬂe 249;249;224;127;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2014988;16.3915924;Behsel Stadtplan, WStLA, P1: 295/8;
1107;Hauptstraﬂe 250;250;225;126;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2015802;16.3915299;Behsel Stadtplan, WStLA, P1: 295/8;
1108;Hauptstraﬂe 100;100;83;231;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2021861;16.3913451;Behsel Stadtplan, WStLA, P1: 295/8;
1109;Hauptstraﬂe 101;101;84;252;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2020629;16.3914524;Behsel Stadtplan, WStLA, P1: 295/8;
1110;Hauptstraﬂe 102;102;85;264;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2019239;16.3916491;Behsel Stadtplan, WStLA, P1: 295/8;
1111;Blumengasse 103;103;86;251;;Blumengasse;Magistrat der Stadt Wien;Landstraﬂe;48.2021007;16.3919903;Behsel Stadtplan, WStLA, P1: 295/8;
1112;Blumengasse 104;104;103;250;;Blumengasse;Magistrat der Stadt Wien;Landstraﬂe;48.2019676;16.3921274;Behsel Stadtplan, WStLA, P1: 295/8;
1113;Gemeindegasse 68;68;56;278;;Gemeindegasse;Magistrat der Stadt Wien;Landstraﬂe;48.2036977;16.3905881;Behsel Stadtplan, WStLA, P1: 295/8;
1114;Gemeindegasse 67;67;55;279;;Gemeindegasse;Magistrat der Stadt Wien;Landstraﬂe;48.2038904;16.3908384;Behsel Stadtplan, WStLA, P1: 295/8;
1115;Spiegelgasse 66;66;55;279;;Spiegelgasse;Magistrat der Stadt Wien;Landstraﬂe;48.2038427;16.3911931;Behsel Stadtplan, WStLA, P1: 295/8;
1116;Gemeindegasse 57;57;47;289;;Gemeindegasse;Magistrat der Stadt Wien;Landstraﬂe;48.2039838;16.3907371;Behsel Stadtplan, WStLA, P1: 295/8;
1117;Gemeindegasse 58;58;48;288;;Gemeindegasse;Magistrat der Stadt Wien;Landstraﬂe;48.2041864;16.3909725;Behsel Stadtplan, WStLA, P1: 295/8;
1118;Spiegelgasse 65;65;54;281;;Spiegelgasse;Magistrat der Stadt Wien;Landstraﬂe;48.2042539;16.391275;Behsel Stadtplan, WStLA, P1: 295/8;
1119;Gemeindegasse 59;59;49;287;;Gemeindegasse;Magistrat der Stadt Wien;Landstraﬂe;48.2044724;16.3913197;Behsel Stadtplan, WStLA, P1: 295/8;
1120;Gemeindegasse 60;60;50;286;;Gemeindegasse;Magistrat der Stadt Wien;Landstraﬂe;48.2047485;16.3916297;Behsel Stadtplan, WStLA, P1: 295/8;
1121;Gemeindegasse 64;64;53;282;;Gemeindegasse;Magistrat der Stadt Wien;Landstraﬂe;48.2045181;16.3915999;Behsel Stadtplan, WStLA, P1: 295/8;
1122;Gemeindegasse 63;63;52;283;;Gemeindegasse;Magistrat der Stadt Wien;Landstraﬂe;48.2046631;16.3917728;Behsel Stadtplan, WStLA, P1: 295/8;
1123;Gemeindegasse 62;62;51;284;;Gemeindegasse;Magistrat der Stadt Wien;Landstraﬂe;48.2047386;16.3919039;Behsel Stadtplan, WStLA, P1: 295/8;
1124;Gemeindegasse 61;61;50;285;;Gemeindegasse;Magistrat der Stadt Wien;Landstraﬂe;48.204826;16.3921393;Behsel Stadtplan, WStLA, P1: 295/8;
1125;Rauchfangkehrergasse 81;81;von 72 bis 78;von 254 bis 260;;Rauchfangkehrergasse;"Magistrat der Stadt Wien;Domkapitel";Landstraﬂe;48.2043453;16.3924925;Behsel Stadtplan, WStLA, P1: 295/8;
1126;Rauchfangkehrergasse 80;80;"69;70";"275;276";;Rauchfangkehrergasse;Magistrat der Stadt Wien;Landstraﬂe;48.204536;16.3922407;Behsel Stadtplan, WStLA, P1: 295/8;
1127;Rauchfangkehrergasse 82;82;79;261;;Rauchfangkehrergasse;"Magistrat der Stadt Wien;Herrschaft Seegenthal";Landstraﬂe;48.2032399;16.3914747;Behsel Stadtplan, WStLA, P1: 295/8;
1128;Rauchfangkehrergasse 74;74;61;267;;Rauchfangkehrergasse;Magistrat der Stadt Wien;Landstraﬂe;48.2032299;16.3912169;Behsel Stadtplan, WStLA, P1: 295/8;
1129;Rauchfangkehrergasse 75;75;62;268;;Rauchfangkehrergasse;Magistrat der Stadt Wien;Landstraﬂe;48.2033362;16.3913525;Behsel Stadtplan, WStLA, P1: 295/8;
1130;Rauchfangkehrergasse 76;76;63;269;;Rauchfangkehrergasse;Magistrat der Stadt Wien;Landstraﬂe;48.2034296;16.3914524;Behsel Stadtplan, WStLA, P1: 295/8;
1131;Rauchfangkehrergasse 77;77;64;270;;Rauchfangkehrergasse;Magistrat der Stadt Wien;Landstraﬂe;48.2035915;16.3916118;Behsel Stadtplan, WStLA, P1: 295/8;
1132;Rauchfangkehrergasse 78;78;"65;66";"271;272;280";;Rauchfangkehrergasse;Magistrat der Stadt Wien;Landstraﬂe;48.20381;16.3918324;Behsel Stadtplan, WStLA, P1: 295/8;
1133;Rauchfangkehrergasse 79;79;"67;68";"273;274";;Rauchfangkehrergasse;Magistrat der Stadt Wien;Landstraﬂe;48.2041735;16.3918711;Behsel Stadtplan, WStLA, P1: 295/8;
1134;Erdberger Hauptstraﬂe 85;85;71;313;;Erdberger Hauptstraﬂe;"Magistrat der Stadt Wien;Herrschaft Seegenthal";Landstraﬂe;48.2027562;16.3924016;Behsel Stadtplan, WStLA, P1: 295/8;
1135;Erdberger Hauptstraﬂe 86;86;87;233;;Erdberger Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2027294;16.3927488;Behsel Stadtplan, WStLA, P1: 295/8;
1136;Erdberger Hauptstraﬂe 87;87;88;234;;Erdberger Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2026877;16.3930781;Behsel Stadtplan, WStLA, P1: 295/8;
1137;Erdberger Hauptstraﬂe 88;88;89;235;;Erdberger Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.2026559;16.3933896;Behsel Stadtplan, WStLA, P1: 295/8;
1138;Rennweggasse 465;465;414;38;K. K. Galizische Garde;Rennweggasse;Magistrat der Stadt Wien;Landstraﬂe;48.1980241;16.3780507;Behsel Stadtplan, WStLA, P1: 295/8;
1139;Kirchengasse 137;137;135;200;;Kirchengasse;Magistrat der Stadt Wien;Landstraﬂe;48.19679613;16.39616022;Behsel Stadtplan, WStLA, P1: 295/8;
1140;Kirchengasse 136;136;134;201;;Kirchengasse;Magistrat der Stadt Wien;Landstraﬂe;48.19704606;16.39626735;Behsel Stadtplan, WStLA, P1: 295/8;
