id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
308;Waaggasse 431;431;385;378;;Waaggasse;Magistrat der Stadt Wien;Landstraﬂe;48.1999333;16.3810081;Behsel Stadtplan, WStLA, P1: 295/8;
309;Waaggasse 442;442;395;394;;Waaggasse;Magistrat der Stadt Wien;Landstraﬂe;48.199355;16.3808685;Behsel Stadtplan, WStLA, P1: 295/8;
310;Am Glacis 444;444;491;;K. K. Mehlaufschlagsamt;Am Glacis;Magistrat der Stadt Wien;Landstraﬂe;48.2008195;16.3794832;Behsel Stadtplan, WStLA, P1: 295/8;
311;Am Glacis 463;463;412;39;K. K. Fuhrwesens-Kaserne;Am Glacis;Pilliot und Hofmann'sche Stiftung;Landstraﬂe;48.1995705;16.3781005;Behsel Stadtplan, WStLA, P1: 295/8;
312;Am Glacis 464;464;413;392;K. K. Pensionats-Garten;Am Glacis;Pilliot und Hofmann'sche Stiftung;Landstraﬂe;48.1989518;16.3769272;Behsel Stadtplan, WStLA, P1: 295/8;
313;Rennweggasse 504;504;457;11;;Rennweggasse;Magistrat der Stadt Wien;Landstraﬂe;48.1932965;16.3910236;Behsel Stadtplan, WStLA, P1: 295/8;
314;Rennweggasse 503;503;503;;;Rennweggasse;Herrschaft Schaumburgerhof;Landstraﬂe;48.193127;16.3916086;Behsel Stadtplan, WStLA, P1: 295/8;
315;Rennweggasse 502;502;518;;;Rennweggasse;Herrschaft Schaumburgerhof;Landstraﬂe;48.1930051;16.3919875;Behsel Stadtplan, WStLA, P1: 295/8;
316;Rennweggasse 501;501;455;332;;Rennweggasse;Herrschaft Schaumburgerhof;Landstraﬂe;48.1929209;16.3922285;Behsel Stadtplan, WStLA, P1: 295/8;
317;Rennweggasse 480;480;430;;;Rennweggasse;Magistrat der Stadt Wien;Landstraﬂe;48.1932477;16.3922302;Behsel Stadtplan, WStLA, P1: 295/8;
318;Rennweggasse 500;500;454;431;;Rennweggasse;Magistrat der Stadt Wien;Landstraﬂe;48.1928301;16.3924495;Behsel Stadtplan, WStLA, P1: 295/8;
319;Rennweggasse 499;499;453;430;;Rennweggasse;Magistrat der Stadt Wien;Landstraﬂe;48.1927337;16.3927022;Behsel Stadtplan, WStLA, P1: 295/8;
320;Rennweggasse 483;483;433;334;;Rennweggasse;"Magistrat der Stadt Wien;Dominikaner";Landstraﬂe;48.1928899;16.3930744;Behsel Stadtplan, WStLA, P1: 295/8;
321;Rennweggasse 482;482;432;383;;Rennweggasse;"Magistrat der Stadt Wien;Stift Schotten;P. P. Dominikaner;Herrschaft Schaumburgerhof;Herrschaft Seegenthal;Herrschaft Schaumburgerhof";Landstraﬂe;48.1930151;16.3927886;Behsel Stadtplan, WStLA, P1: 295/8;
322;Rennweggasse 481;481;431;27;;Rennweggasse;"Magistrat der Stadt Wien;Stift Schotten;P. P. Dominikaner;Herrschaft Schaumburgerhof;Herrschaft Seegenthal;Herrschaft Schaumburgerhof";Landstraﬂe;48.1930937;16.3926124;Behsel Stadtplan, WStLA, P1: 295/8;
323;Rennweggasse 498;498;452;436;;Rennweggasse;Magistrat der Stadt Wien;Landstraﬂe;48.1926323;16.3929606;Behsel Stadtplan, WStLA, P1: 295/8;
324;Rennweggasse 564;564;;;;Rennweggasse;P. P. Dominikaner;Landstraﬂe;48.192511;16.3940118;Behsel Stadtplan, WStLA, P1: 295/8;
325;Steingasse 560;560;;;;Steingasse;Magistrat der Stadt Wien;Landstraﬂe;48.1926129;16.3937641;Behsel Stadtplan, WStLA, P1: 295/8;
326;Steingasse 568;568;;;;Steingasse;Magistrat der Stadt Wien;Landstraﬂe;48.1928101;16.3934326;Behsel Stadtplan, WStLA, P1: 295/8;
327;Steingasse 567;567;;;;Steingasse;Magistrat der Stadt Wien;Landstraﬂe;48.1929519;16.3936179;Behsel Stadtplan, WStLA, P1: 295/8;
328;Klimschgasse 566;566;;;;Klimschgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1930993;16.393799;Behsel Stadtplan, WStLA, P1: 295/8;
329;Steingasse 561;561;;;;Steingasse;Magistrat der Stadt Wien;Landstraﬂe;48.1932555;16.3939901;Behsel Stadtplan, WStLA, P1: 295/8;
330;Steingasse 560;560;;;;Steingasse;Magistrat der Stadt Wien;Landstraﬂe;48.1934061;16.3941813;Behsel Stadtplan, WStLA, P1: 295/8;
331;Steingasse 183;183;164;385;;Steingasse;Magistrat der Stadt Wien;Landstraﬂe;48.193805;16.3944189;Behsel Stadtplan, WStLA, P1: 295/8;
332;Steingasse 182;182;162;;;Steingasse;Magistrat der Stadt Wien;Landstraﬂe;48.1934205;16.3939287;Behsel Stadtplan, WStLA, P1: 295/8;
333;Steingasse 558;558;;;;Steingasse;P. P. Dominikaner;Landstraﬂe;48.1937363;16.3946233;Behsel Stadtplan, WStLA, P1: 295/8;
334;Steingasse 557;557;;;;Steingasse;P. P. Dominikaner;Landstraﬂe;48.1938426;16.3947663;Behsel Stadtplan, WStLA, P1: 295/8;
335;Steingasse 559;559;;;;Steingasse;P. P. Dominikaner;Landstraﬂe;48.1935468;16.3943807;Behsel Stadtplan, WStLA, P1: 295/8;
336;Klimschgasse 607;607;;;;Klimschgasse;P. P. Dominikaner;Landstraﬂe;48.1935712;16.3948959;Behsel Stadtplan, WStLA, P1: 295/8;
337;Klimschgasse 608;608;;;;Klimschgasse;P. P. Dominikaner;Landstraﬂe;48.1934538;16.3951136;Behsel Stadtplan, WStLA, P1: 295/8;
338;Klimschgasse 609;609;;;;Klimschgasse;P. P. Dominikaner;Landstraﬂe;48.1933397;16.3953313;Behsel Stadtplan, WStLA, P1: 295/8;
339;Klimschgasse 610;610;;;;Klimschgasse;P. P. Dominikaner;Landstraﬂe;48.1931691;16.3955706;Behsel Stadtplan, WStLA, P1: 295/8;
340;Klimschgasse 597;597;;;;Klimschgasse;Magistrat der Stadt Wien;Landstraﬂe;48.193025;16.3953978;Behsel Stadtplan, WStLA, P1: 295/8;
341;Klimschgasse 598;598;;;;Klimschgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1928976;16.3952333;Behsel Stadtplan, WStLA, P1: 295/8;
342;Klimschgasse 599;599;;;;Klimschgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1927614;16.3950721;Behsel Stadtplan, WStLA, P1: 295/8;
343;Klimschgasse 600;600;;;;Klimschgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1926439;16.3949125;Behsel Stadtplan, WStLA, P1: 295/8;
344;Klimschgasse 566;566;;;;Klimschgasse;Magistrat der Stadt Wien;Landstraﬂe;48.192347;16.3945685;Behsel Stadtplan, WStLA, P1: 295/8;
345;Klimschgasse 596;596;;;;Klimschgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1929935;16.3949915;Behsel Stadtplan, WStLA, P1: 295/8;
346;Klimschgasse 595;595;;;;Klimschgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1928827;16.3948469;Behsel Stadtplan, WStLA, P1: 295/8;
347;Fasangasse 555;555;;;;Fasangasse;Magistrat der Stadt Wien;Landstraﬂe;48.1918601;16.3946765;Behsel Stadtplan, WStLA, P1: 295/8;
348;Rennweggasse 497;497;451;465;;Rennweggasse;Magistrat der Stadt Wien;Landstraﬂe;48.1918169;16.393701;Behsel Stadtplan, WStLA, P1: 295/8;
349;Rennweggasse 496;496;450;444;;Rennweggasse;Magistrat der Stadt Wien;Landstraﬂe;48.1920761;16.3943042;Behsel Stadtplan, WStLA, P1: 295/8;
350;Kanalgasse 593;593;;;;Kanalgasse;Magistrat der Stadt Wien;Landstraﬂe;48.192003;16.3938227;Behsel Stadtplan, WStLA, P1: 295/8;
351;Klimschgasse 594;594;;;;Klimschgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1922744;16.3938888;Behsel Stadtplan, WStLA, P1: 295/8;
352;Klimschgasse 565;565;;;;Klimschgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1924514;16.3943699;Behsel Stadtplan, WStLA, P1: 295/8;
353;Klimschgasse 582;582;;;;Klimschgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1925872;16.3945618;Behsel Stadtplan, WStLA, P1: 295/8;
354;Klimschgasse 583;583;;;;Klimschgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1927356;16.3947181;Behsel Stadtplan, WStLA, P1: 295/8;
355;Klimschgasse 584;584;;;;Klimschgasse;Magistrat der Stadt Wien;Landstraﬂe;48.1924897;16.3947339;Behsel Stadtplan, WStLA, P1: 295/8;
356;Rennweggasse 484;484;434;26;K. K. Artillerie-Kaserne;Rennweggasse;"Magistrat der Stadt Wien;Dominikaner";Landstraﬂe;48.1915557;16.3960418;Behsel Stadtplan, WStLA, P1: 295/8;
357;Rennweggasse 485;485;435;25;Magistrat der Stadt Wien;Rennweggasse;"Magistrat der Stadt Wien;Dominikaner";Landstraﬂe;48.1902063;16.3981092;Behsel Stadtplan, WStLA, P1: 295/8;
358;Rennweggasse 486;486;"436;437";"23;24";;Rennweggasse;"Magistrat der Stadt Wien;Dominikaner";Landstraﬂe;48.1897941;16.3988255;Behsel Stadtplan, WStLA, P1: 295/8;
359;Rennweggasse 487;487;"438;439";"21;22";;Rennweggasse;"Magistrat der Stadt Wien;Dominikaner";Landstraﬂe;48.1895503;16.3992127;Behsel Stadtplan, WStLA, P1: 295/8;
360;Rennweggasse 488;488;440;20;;Rennweggasse;"Magistrat der Stadt Wien;Dominikaner";Landstraﬂe;48.1892966;16.3996415;Behsel Stadtplan, WStLA, P1: 295/8;
361;Rennweggasse 490;490;441;19;;Rennweggasse;Magistrat der Stadt Wien;Landstraﬂe;48.1893609;16.4003279;Behsel Stadtplan, WStLA, P1: 295/8;
362;Rennweggasse 495;495;449;12;;Rennweggasse;Magistrat der Stadt Wien;Landstraﬂe;48.1889421;16.3997662;Behsel Stadtplan, WStLA, P1: 295/8;
363;Rennweggasse 489;489;440;20;;Rennweggasse;P. P. Dominikaner;Landstraﬂe;48.1893653;16.4000254;Behsel Stadtplan, WStLA, P1: 295/8;
364;Rennweggasse 494;494;448;13;B¸rgerspital in Wien;Rennweggasse;Magistrat der Stadt Wien;Landstraﬂe;48.1885133;16.4001068;Behsel Stadtplan, WStLA, P1: 295/8;
365;Rennweggasse 491;491;442;19;;Rennweggasse;Magistrat der Stadt Wien;Landstraﬂe;48.1888712;16.40017;Behsel Stadtplan, WStLA, P1: 295/8;
366;St. Marxer Linie 492;492;"443;444;446;447";"14;15;16;17";K. K. Linienamt;St. Marxer Linie;Magistrat der Stadt Wien;Landstraﬂe;48.1881172;16.4008024;Behsel Stadtplan, WStLA, P1: 295/8;
367;Hauptstraﬂe 197;197;177;173;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1895736;16.4028266;Behsel Stadtplan, WStLA, P1: 295/8;
368;Hauptstraﬂe 168;168;151;186;;Hauptstraﬂe;Stift Schotten;Landstraﬂe;48.1941182;16.3973107;Behsel Stadtplan, WStLA, P1: 295/8;
369;Hauptstraﬂe 169;169;520;;;Hauptstraﬂe;"Magistrat der Stadt Wien;Herrschaft Seegenthal";Landstraﬂe;48.1942944;16.3971561;Behsel Stadtplan, WStLA, P1: 295/8;
370;Hauptstraﬂe 170;170;152;185;;Hauptstraﬂe;"Magistrat der Stadt Wien;Stift Schotten";Landstraﬂe;48.1944306;16.3970614;Behsel Stadtplan, WStLA, P1: 295/8;
371;Hauptstraﬂe 172;172;154;183;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1949292;16.3967539;Behsel Stadtplan, WStLA, P1: 295/8;
372;Hauptstraﬂe 171;171;153;184;;Hauptstraﬂe;"Magistrat der Stadt Wien;Stift Schotten;P. P. Dominikaner;Herrschaft Seegenthal";Landstraﬂe;48.1946577;16.3969284;Behsel Stadtplan, WStLA, P1: 295/8;
373;Hauptstraﬂe 173;173;155;182;;Hauptstraﬂe;P. P. Dominikaner;Landstraﬂe;48.1950876;16.3966442;Behsel Stadtplan, WStLA, P1: 295/8;
374;Hauptstraﬂe 174;174;156;181;;Hauptstraﬂe;P. P. Dominikaner;Landstraﬂe;48.1951829;16.3965977;Behsel Stadtplan, WStLA, P1: 295/8;
375;Hauptstraﬂe 192;192;172;378;;Hauptstraﬂe;P. P. Dominikaner;Landstraﬂe;48.1954654;16.3963634;Behsel Stadtplan, WStLA, P1: 295/8;
376;Hauptstraﬂe 193;193;173;177;;Hauptstraﬂe;P. P. Dominikaner;Landstraﬂe;48.1956614;16.3961972;Behsel Stadtplan, WStLA, P1: 295/8;
377;Hauptstraﬂe 149;149;146;;;Hauptstraﬂe;Domkapitel;Landstraﬂe;48.195647;16.3966708;Behsel Stadtplan, WStLA, P1: 295/8;
378;Hauptstraﬂe 150;150;147;;;Hauptstraﬂe;Domkapitel;Landstraﬂe;48.1955407;16.396724;Behsel Stadtplan, WStLA, P1: 295/8;
379;Hauptstraﬂe 151;151;148;;;Hauptstraﬂe;Domkapitel;Landstraﬂe;48.1954022;16.3968137;Behsel Stadtplan, WStLA, P1: 295/8;
380;Hauptstraﬂe 152;152;149;;;Hauptstraﬂe;Domkapitel;Landstraﬂe;48.1952682;16.3969002;Behsel Stadtplan, WStLA, P1: 295/8;
381;Hauptstraﬂe 148;148;145;;;Hauptstraﬂe;Domkapitel;Landstraﬂe;48.1957744;16.3966027;Behsel Stadtplan, WStLA, P1: 295/8;
382;Hauptstraﬂe 147;147;144;;;Hauptstraﬂe;Domkapitel;Landstraﬂe;48.1958797;16.3965379;Behsel Stadtplan, WStLA, P1: 295/8;
