id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;Viertel;Latitude;Longitude;reference
885;Kaiserstraﬂe n‰chst der Linie 45;45;165;;K. K. alte Wegemauth;Kaiserstraﬂe n‰chst der Linie;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2100401;16.3395459;Behsel Stadtplan, WStLA, P1: 295/12G
886;Kaiserstraﬂe n‰chst der Linie 46;46;167;;K. K. Aufschlagsamt;Kaiserstraﬂe n‰chst der Linie;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2098762;16.3398896;Behsel Stadtplan, WStLA, P1: 295/12G
887;Kaiserstraﬂe n‰chst der Linie 47;47;164;;K. K. Mauthaus;Kaiserstraﬂe n‰chst der Linie;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2099529;16.3400064;Behsel Stadtplan, WStLA, P1: 295/12G
888;Kaiserstraﬂe n‰chst der Linie 48;48;219;;;Kaiserstraﬂe n‰chst der Linie;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2097507;16.3399489;Behsel Stadtplan, WStLA, P1: 295/12G
889;Kaiserstraﬂe n‰chst der Linie 49;49;221;;;Kaiserstraﬂe n‰chst der Linie;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2096333;16.3398564;Behsel Stadtplan, WStLA, P1: 295/12G
890;Kaiserstraﬂe n‰chst der Linie 50;50;207;;;Kaiserstraﬂe n‰chst der Linie;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2095135;16.3397744;Behsel Stadtplan, WStLA, P1: 295/12G
891;Kaiserstraﬂe n‰chst der Linie 51;51;168;;;Kaiserstraﬂe n‰chst der Linie;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2094136;16.3397012;Behsel Stadtplan, WStLA, P1: 295/12G
892;Kaiserstraﬂe n‰chst der Linie 52;52;206;;;Kaiserstraﬂe n‰chst der Linie;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2092985;16.3396157;Behsel Stadtplan, WStLA, P1: 295/12G
893;Kaiserstraﬂe n‰chst der Linie 53;53;184;;;Kaiserstraﬂe n‰chst der Linie;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2091602;16.3395128;Behsel Stadtplan, WStLA, P1: 295/12G
894;Kaiserstraﬂe n‰chst der Linie 54;54;185;;;Kaiserstraﬂe n‰chst der Linie;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2090509;16.3394448;Behsel Stadtplan, WStLA, P1: 295/12G
