id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;Viertel;Latitude;Longitude;reference
52;Siebensterngasse 32;32;124;121;;Siebensterngasse;Stift Schotten;St. Ulrich;;48.2022977;16.3524357;Behsel Stadtplan, WStLA, P1: 295/13G
53;Siebensterngasse 33;33;128;0;;Siebensterngasse;Stift Schotten;St. Ulrich;;48.2023011;16.3522321;Behsel Stadtplan, WStLA, P1: 295/13G
54;Siebensterngasse 34;34;125;88;;Siebensterngasse;Stift Schotten;St. Ulrich;;48.2022944;16.3520712;Behsel Stadtplan, WStLA, P1: 295/13G
55;Siebensterngasse 35;35;126;31;;Siebensterngasse;Stift Schotten;St. Ulrich;;48.2022877;16.3518676;Behsel Stadtplan, WStLA, P1: 295/13G
56;Luftschützgasse 36;36;142;0;;Luftschützgasse;Stift Schotten;St. Ulrich;;48.2027937;16.3517092;Behsel Stadtplan, WStLA, P1: 295/13G
57;Luftschützgasse 37;37;127;124;;Luftschützgasse;Stift Schotten;St. Ulrich;;48.2030567;16.3516665;Behsel Stadtplan, WStLA, P1: 295/13G
58;Entengasse 38;38;29;20;;Entengasse;Stift Schotten;St. Ulrich;;48.2041825;16.3515459;Behsel Stadtplan, WStLA, P1: 295/13G
59;Entengasse 39;39;30;21;;Entengasse;Stift Schotten;St. Ulrich;;48.2041691;16.3517243;Behsel Stadtplan, WStLA, P1: 295/13G
60;Entengasse 40;40;31;22;;Entengasse;Stift Schotten;St. Ulrich;;48.2041624;16.3518802;Behsel Stadtplan, WStLA, P1: 295/13G
61;Entengasse 41;41;32;23;;Entengasse;Stift Schotten;St. Ulrich;;48.2041658;16.3520084;Behsel Stadtplan, WStLA, P1: 295/13G
62;Entengasse 42;42;33;24;;Entengasse;Stift Schotten;St. Ulrich;;48.2041541;16.3521969;Behsel Stadtplan, WStLA, P1: 295/13G
63;Entengasse 43;43;34;25;;Entengasse;Stift Schotten;St. Ulrich;;48.2041591;16.3523905;Behsel Stadtplan, WStLA, P1: 295/13G
64;Entengasse 44;44;35;26;;Entengasse;Stift Schotten;St. Ulrich;;48.2041457;16.3526318;Behsel Stadtplan, WStLA, P1: 295/13G
65;Entengasse 45;45;36;27;;Entengasse;Stift Schotten;St. Ulrich;;48.204139;16.3528656;Behsel Stadtplan, WStLA, P1: 295/13G
66;Entengasse 46;46;37;28;;Entengasse;Stift Schotten;St. Ulrich;;48.2041005;16.3530642;Behsel Stadtplan, WStLA, P1: 295/13G
67;Entengasse 47;47;38;29;;Entengasse;Stift Schotten;St. Ulrich;;48.2040787;16.3533306;Behsel Stadtplan, WStLA, P1: 295/13G
68;Kirchengasse 48;48;28;19;;Kirchengasse;Stift Schotten;St. Ulrich;;48.2044154;16.3516489;Behsel Stadtplan, WStLA, P1: 295/13G
69;Kirchengasse 49;49;27;18;;Kirchengasse;Stift Schotten;St. Ulrich;;48.2043702;16.3521089;Behsel Stadtplan, WStLA, P1: 295/13G
70;3 Hüttengasse 50;50;26;17;;3 Hüttengasse;Stift Schotten;St. Ulrich;;48.2046617;16.3522321;Behsel Stadtplan, WStLA, P1: 295/13G
71;Am Platzel 51;51;25;16;;Am Platzel;Stift Schotten;St. Ulrich;;48.2050286;16.3523729;Behsel Stadtplan, WStLA, P1: 295/13G
72;Am Platzel 52;52;24;15;;Am Platzel;Stift Schotten;St. Ulrich;;48.2052062;16.3520612;Behsel Stadtplan, WStLA, P1: 295/13G
73;Am Platzel 53;53;23;14;;Am Platzel;Stift Schotten;St. Ulrich;;48.2053251;16.351752;Behsel Stadtplan, WStLA, P1: 295/13G
74;3 Hüttengasse 146;146;;0;;3 Hüttengasse;Stift Schotten;St. Ulrich;;48.2049465;16.3519531;Behsel Stadtplan, WStLA, P1: 295/13G
75;Am Platzel 54;54;22;13;;Am Platzel;Stift Schotten;St. Ulrich;;48.2053905;16.3520838;Behsel Stadtplan, WStLA, P1: 295/13G
76;Am Platzel 55;55;21;12;;Am Platzel;Stift Schotten;St. Ulrich;;48.2053586;16.3522824;Behsel Stadtplan, WStLA, P1: 295/13G
77;Am Platzel 56;56;20;11;;Am Platzel;Stift Schotten;St. Ulrich;;48.205362;16.3524609;Behsel Stadtplan, WStLA, P1: 295/13G
78;Am Platzel 57;57;19;10;;Am Platzel;Stift Schotten;St. Ulrich;;48.2053838;16.3526494;Behsel Stadtplan, WStLA, P1: 295/13G
79;Am Platzel 58;58;18;9;;Am Platzel;Stift Schotten;St. Ulrich;;48.2053972;16.3528907;Behsel Stadtplan, WStLA, P1: 295/13G
80;Am Platzel 59;59;17;8;;Am Platzel;Stift Schotten;St. Ulrich;;48.2054156;16.3531446;Behsel Stadtplan, WStLA, P1: 295/13G
81;Am Platzel 60;60;16;7;;Am Platzel;Stift Schotten;St. Ulrich;;48.205439;16.3533633;Behsel Stadtplan, WStLA, P1: 295/13G
