id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
174;Heugasse 107;107;43;;;Heugasse;Kommende St. Johann;Wieden;48.196826;16.3755355;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
175;Heugasse 108;108;42;;;Heugasse;Kommende St. Johann;Wieden;48.1965832;16.3756798;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
176;Heugasse 109;109;41;;;Heugasse;Kommende St. Johann;Wieden;48.1964252;16.3757885;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
177;Heugasse 110;110;40;;;Heugasse;Kommende St. Johann;Wieden;48.1962117;16.3759156;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
178;Heugasse 111;111;68;339;;Heugasse;Kommende St. Johann;Wieden;48.1958639;16.3761112;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
179;Heugasse 112;112;67;340;;Heugasse;Kommende St. Johann;Wieden;48.1954826;16.3763336;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
180;Heugasse 113;113;66;341;;Heugasse;Kommende St. Johann;Wieden;48.1953123;16.3764448;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
181;Heugasse 114;114;65;342;;Heugasse;Kommende St. Johann;Wieden;48.1951934;16.3765157;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
182;Heugasse 115;115;64;343;;Heugasse;Kommende St. Johann;Wieden;48.1949938;16.3766403;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
183;Heugasse 116;116;63;344;;Heugasse;Kommende St. Johann;Wieden;48.1947282;16.3768371;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
184;Heugasse 117;117;71;345;;Heugasse;"Magistrat der Stadt Wien;Kommende St. Johann";Wieden;48.1943901;16.3769605;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
185;Heugasse 118;118;70;346;;Heugasse;"Magistrat der Stadt Wien;Kommende St. Johann";Wieden;48.1942704;16.3771891;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
186;Heugasse 119;119;572;;;Heugasse;Kommende St. Johann;Wieden;48.1940529;16.3773712;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
187;Heugasse 120;120;570;;;Heugasse;Kommende St. Johann;Wieden;48.1938362;16.3775704;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
188;Heugasse 121;121;569;;;Heugasse;Kommende St. Johann;Wieden;48.1936341;16.3777464;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
189;Heugasse 122;122;553;;;Heugasse;Kommende St. Johann;Wieden;48.193419;16.3779297;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
191;Sackgasse 123;123;69;;;Sackgasse;Kommende St. Johann;Wieden;48.1932463;16.3780714;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
192;Sackgasse 124;124;588;;;Sackgasse;Kommende St. Johann;Wieden;48.193081;16.3778124;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
193;Sackgasse 125;125;589;;;Sackgasse;Kommende St. Johann;Wieden;48.1931249;16.3773785;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
194;Sackgasse 126;126;590;;;Sackgasse;Kommende St. Johann;Wieden;48.1927543;16.3776095;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
195;Sackgasse 127;127;591;;;Sackgasse;Kommende St. Johann;Wieden;48.19283;16.3779211;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
196;Sackgasse 128;128;592;;;Sackgasse;Kommende St. Johann;Wieden;48.1929131;16.3782279;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
197;Feldgasse 129;129;550;;;Feldgasse;Kommende St. Johann;Wieden;48.1926337;16.3772135;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
198;Feldgasse 130;130;104;348;;Feldgasse;"Magistrat der Stadt Wien;Kommende St. Johann";Wieden;48.1923208;16.3760659;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
199;Feldgasse 131;131;103;349;;Feldgasse;"Magistrat der Stadt Wien;Kommende St. Johann";Wieden;48.1921726;16.3755062;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
200;Favoritenstraße 132;132;105;24;K. K. Eisgrube;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.1908975;16.3717787;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
201;0 133;133;106;400;;0;Magistrat der Stadt Wien;Wieden;48.190535;16.3718081;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
202;Favoritenstraße 134;134;107;401;;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.1903166;16.3719633;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
203;Favoritenstraße 135;135;108;402;;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.190029;16.3721075;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
204;Favoritenstraße 136;136;109;403;;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.1898237;16.3722273;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
205;Favoritenstraße 137;137;110;404;;Favoritenstraße;"Magistrat der Stadt Wien;Kommende St. Johann";Wieden;48.1895076;16.3724179;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
206;Favoritenstraße 138;138;111;405;;Favoritenstraße;"Magistrat der Stadt Wien;Kommende St. Johann";Wieden;48.189343;16.372501;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
207;Favoritenstraße 139;139;112;406;;Favoritenstraße;"Magistrat der Stadt Wien;Kommende St. Johann";Wieden;48.1891768;16.372589;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
208;Favoritenstraße 140;140;113;407;;Favoritenstraße;"Magistrat der Stadt Wien;Kommende St. Johann";Wieden;48.1890187;16.3726941;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
209;Favoritenstraße 141;141;114;408;;Favoritenstraße;"Magistrat der Stadt Wien;Kommende St. Johann";Wieden;48.1888672;16.3727723;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
210;Favoritenstraße 142;142;115;409;;Favoritenstraße;"Magistrat der Stadt Wien;Kommende St. Johann";Wieden;48.1887091;16.3728579;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
211;Favoritenstraße 143;143;116;423;;Favoritenstraße;"Magistrat der Stadt Wien;Kommende St. Johann";Wieden;48.1885771;16.3729312;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
212;Favoritenstraße 144;144;117;410;;Favoritenstraße;"Magistrat der Stadt Wien;Kommende St. Johann";Wieden;48.1884826;16.3729899;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
213;Favoritenstraße 145;145;118;469;;Favoritenstraße;"Magistrat der Stadt Wien;Kommende St. Johann";Wieden;48.1883751;16.3730522;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
214;Favoritenstraße 146;146;119;25;;Favoritenstraße;Kommende St. Johann;Wieden;48.1882708;16.3731206;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
217;Favoritenstraße 148;148;121;27;K. K. Mauthhaus;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.187575;16.373508;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
218;Favoritenstraße 149;149;122;28;K. K. Mauthhaus;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.187205;16.3732172;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
219;Favoritenstraße 150;150;123;29;K. K. Mauthhaus;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.1914067;16.3711053;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
220;Favoritenstraße 150;150;123;29;K. K. Mauthhaus;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.187425;16.3730681;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
221;Favoritenstraße 151;151;124;30;K. K. Mauthhaus;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.1875611;16.3731573;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
222;Favoritenstraße 152;152;126;32;;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.1908161;16.370922;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
223;Favoritenstraße 154;154;128;34;K. K. Fuhrwesens-Deposit;Favoritenstraße;Kaiserlich Königlich;Wieden;48.1923015;16.3707757;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
224;Favoritenstraße 155;155;129;429;K. K. Fuhrwesens-Deposit;Favoritenstraße;Kaiserlich Königlich;Wieden;48.1928539;16.3705801;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
225;Favoritenstraße 156;156;101;35;K. K. Theresianum;Favoritenstraße;Kaiserlich Königlich;Wieden;48.1930836;16.3708735;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
226;Favoritenstraße 157;157;135;36;;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.193341;16.3704139;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
227;Favoritenstraße 158;158;136;37;;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.1939643;16.3699752;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
228;Favoritenstraße 159;159;137;470;;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.1945403;16.3697515;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
229;Favoritenstraße 160;160;138;471;;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.1946527;16.3696587;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
230;Favoritenstraße 160;160;138;471;;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.1947602;16.3695804;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
231;Favoritenstraße 162;162;101;22;K. K. Taubstummen-Institut;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.1945973;16.3701047;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
232;Favoritenstraße 163;163;100;20;;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.1949207;16.3699043;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
233;Favoritenstraße 164;164;99;19;;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.1952009;16.3696574;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
234;Favoritenstraße 165;165;98;18;;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.195491;16.369391;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
235;Favoritenstraße 166;166;97;17;K. K. Artillerie-Kaserne;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.1958543;16.3690244;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
236;Favoritenstraße 167;167;96;;K. K. Gußhaus;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.1962144;16.3686357;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
237;Favoritenstraße 168;168;543;;;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.1961125;16.3683803;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
238;Favoritenstraße 169;169;538;;;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.1958918;16.368615;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
239;Favoritenstraße 170;170;537;;;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.1954535;16.3690012;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
240;Favoritenstraße 171;171;521;;;Favoritenstraße;Magistrat der Stadt Wien;Wieden;48.1951382;16.3692554;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
241;Gemeindegasse 172;172;520;;;Gemeindegasse;Magistrat der Stadt Wien;Wieden;48.1949859;16.3693751;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
242;Gemeindegasse 173;173;140;38;;Gemeindegasse;Magistrat der Stadt Wien;Wieden;48.1947407;16.3692138;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
243;Gemeindegasse 174;174;525;;;Gemeindegasse;Magistrat der Stadt Wien;Wieden;48.1948172;16.3688887;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
244;Gemeindegasse 175;175;524;;;Gemeindegasse;Magistrat der Stadt Wien;Wieden;48.1947284;16.3685123;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
245;Neumanngasse 176;176;526;;;Neumanngasse;Magistrat der Stadt Wien;Wieden;48.1947415;16.368186;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
246;Neumanngasse 177;177;523;;;Neumanngasse;Magistrat der Stadt Wien;Wieden;48.1949761;16.3683669;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
