id;Hausnummer;Vorstadt;Latitude;Longitude;reference;Viertel;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Adresse
558;80;Spittelberg, Mariahilf;48.2000456;16.3544147;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;67;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 80
559;81;Spittelberg, Mariahilf;48.2001072;16.354628;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;68;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 81
560;82;Spittelberg, Mariahilf;48.2001799;16.3548508;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;69;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 82
561;83;Spittelberg, Mariahilf;48.2002462;16.3550523;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;70;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 83
562;84;Spittelberg, Mariahilf;48.2003284;16.355313;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;71;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 84
563;85;Spittelberg, Mariahilf;48.2004121;16.355588;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;72;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 85
564;86;Spittelberg, Mariahilf;48.2008023;16.3554078;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;73;;;Stifgasse;Domkapitel;Stifgasse 86
565;87;Spittelberg, Mariahilf;48.2009445;16.355313;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;74;;;Stifgasse;Domkapitel;Stifgasse 87
566;88;Spittelberg, Mariahilf;48.2010772;16.355204;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;75;;;Stifgasse;Domkapitel;Stifgasse 88
567;89;Spittelberg, Mariahilf;48.2011989;16.3551258;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;76;;;Stifgasse;Domkapitel;Stifgasse 89
568;90;Spittelberg, Mariahilf;48.2013347;16.3550405;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;77;;;Stifgasse;Domkapitel;Stifgasse 90
569;91;Spittelberg, Mariahilf;48.2016239;16.3548579;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;121;;;Stifgasse;Domkapitel;Stifgasse 91
570;92;Spittelberg, Mariahilf;48.2017976;16.3547347;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;122;;;Stifgasse;Domkapitel;Stifgasse 92
571;93;Spittelberg, Mariahilf;48.2019161;16.3546612;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;123;;;Stifgasse;Domkapitel;Stifgasse 93
572;94;Spittelberg, Mariahilf;48.2020204;16.3545948;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;124;;;Stifgasse;Domkapitel;Stifgasse 94
573;95;Spittelberg, Mariahilf;48.2021957;16.3544621;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;125;;;Stifgasse;Domkapitel;Stifgasse 95
