id;Hausnummer;Vorstadt;Latitude;Longitude;reference;Viertel;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Adresse
504;26;Spittelberg, Mariahilf;48.1981789;16.354154;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;Bürgerspital in Wien;Kleine Kirchengasse 26
505;27;Spittelberg, Mariahilf;48.1983432;16.353943;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;Bürgerspital in Wien;Kleine Kirchengasse 27
506;28;Spittelberg, Mariahilf;48.1984649;16.3537818;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;Bürgerspital in Wien;Kleine Kirchengasse 28
507;29;Spittelberg, Mariahilf;48.1986008;16.3536088;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;Bürgerspital in Wien;Kleine Kirchengasse 29
508;30;Spittelberg, Mariahilf;48.1985944;16.3531584;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;Bürgerspital in Wien;Kleine Kirchengasse 30
509;31;Spittelberg, Mariahilf;48.1987746;16.3529854;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;Fener-Requisitien-Stadl der Gemeinde Mariahilf;Kleine Kirchengasse;Bürgerspital in Wien;Kleine Kirchengasse 31
510;32;Spittelberg, Mariahilf;48.1988773;16.3528693;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;Bürgerspital in Wien;Kleine Kirchengasse 32
511;33;Spittelberg, Mariahilf;48.1991585;16.3525303;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Kleine Kirchengasse;Bürgerspital in Wien;Kleine Kirchengasse 33
512;34;Spittelberg, Mariahilf;48.1990969;16.3523668;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;15;;;Kleine Kirchengasse;Bürgerspital in Wien;Kleine Kirchengasse 34
513;35;Spittelberg, Mariahilf;48.1990115;16.3521463;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;16;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 35
514;36;Spittelberg, Mariahilf;48.1989262;16.3519283;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;17;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 36
515;37;Spittelberg, Mariahilf;48.1988299;16.3516699;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;18;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 37
516;38;Spittelberg, Mariahilf;48.1986592;16.3512101;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;19;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 38
517;39;Spittelberg, Mariahilf;48.1984665;16.3506341;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;20;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 39
518;40;Spittelberg, Mariahilf;48.1980683;16.3504658;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;"21;22;23";;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 40
519;41;Spittelberg, Mariahilf;48.1980747;16.3501529;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;22;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 41
520;42;Spittelberg, Mariahilf;48.1980257;16.349904;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;23;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 42
521;43;Spittelberg, Mariahilf;48.1979103;16.3495272;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;24;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 43
522;44;Spittelberg, Mariahilf;48.1977887;16.3491289;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;25;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 44
523;45;Spittelberg, Mariahilf;48.1976749;16.3488256;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;26;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 45
524;65;Spittelberg, Mariahilf;48.1975643;16.3484925;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;47;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 65
525;66;Spittelberg, Mariahilf;48.1974917;16.3482673;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;48;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 66
526;67;Spittelberg, Mariahilf;48.1974142;16.3480279;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;49;;;Mariahilfer Hauptstraße;Domkapitel;Mariahilfer Hauptstraße 67
