id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;;Gassen und Plätze;Grundobrigkeit;Vorstadt;Latitude;Longitude;Viertel;reference
83;An der Gänseweide 100;100;92;74;;An der Gänseweide;Magistrat der Stadt Wien;Weißgerber;48.207317;16.3953304;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
84;An der Gänseweide 101;101;93;73;;An der Gänseweide;Magistrat der Stadt Wien;Weißgerber;48.2074889;16.3953649;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
85;An der Gänseweide 102;102;97;;;An der Gänseweide;Magistrat der Stadt Wien;Weißgerber;48.2076341;16.3954049;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
86;Untere Gärtnergasse 104;104;;;;Untere Gärtnergasse;Magistrat der Stadt Wien;Weißgerber;48.2084303;16.3946386;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
87;Untere Gärtnergasse 90;90;83;86;;Untere Gärtnergasse;Magistrat der Stadt Wien;Weißgerber;48.2085779;16.3945896;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
88;Untere Gärtnergasse 78;78;72;48;;Untere Gärtnergasse;Magistrat der Stadt Wien;Weißgerber;48.2086542;16.3943608;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
89;Untere Gärtnergasse 89;89;82;49;;Untere Gärtnergasse;Magistrat der Stadt Wien;Weißgerber;48.2088526;16.3944825;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
90;Untere Gärtnergasse 88;88;81;72;;Untere Gärtnergasse;Magistrat der Stadt Wien;Weißgerber;48.2095327;16.3941665;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
91;Untere Gärtnergasse 87;87;80;50;;Untere Gärtnergasse;Magistrat der Stadt Wien;Weißgerber;48.2096827;16.3941066;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
92;Untere Gärtnergasse 86;86;79;71;;Untere Gärtnergasse;Magistrat der Stadt Wien;Weißgerber;48.2101014;16.3939033;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
93;Untere Gärtnergasse 79;79;61;33;;Untere Gärtnergasse;Magistrat der Stadt Wien;Weißgerber;48.2097759;16.3928991;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
94;Untere Gärtnergasse 85;85;78;51;;Untere Gärtnergasse;Magistrat der Stadt Wien;Weißgerber;48.2106108;16.3936164;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
95;Untere Gärtnergasse 80;80;73;47;;Untere Gärtnergasse;Magistrat der Stadt Wien;Weißgerber;48.2109629;16.3931297;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
96;Untere Gärtnergasse 81;81;74;46;;Untere Gärtnergasse;Magistrat der Stadt Wien;Weißgerber;48.2113525;16.392763;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
97;Untere Gärtnergasse 84;84;77;52;;Untere Gärtnergasse;Magistrat der Stadt Wien;Weißgerber;48.2113416;16.393019;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
