id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
393;Äußere Hauptstraße 192;192;176;;;Äußere Hauptstraße;Fürst von und zu Liechtenstein;48.2297779;16.3558757;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
394;Freythofgasse 193;193;177;;;Freythofgasse;Fürst von und zu Liechtenstein;48.2298243;16.3554857;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
395;Freythofgasse 194;194;178;;;Freythofgasse;Fürst von und zu Liechtenstein;48.2298149;16.355314;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
396;Obere Hauptstraße 195;195;184;;;Obere Hauptstraße;Fürst von und zu Liechtenstein;48.2283834;16.3547625;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
397;Obere Hauptstraße 196;196;183;;;Obere Hauptstraße;Fürst von und zu Liechtenstein;48.228509;16.3547341;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
398;Obere Hauptstraße 197;197;182;;;Obere Hauptstraße;Fürst von und zu Liechtenstein;48.2286045;16.3547122;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
399;Obere Hauptstraße 198;198;181;;;Obere Hauptstraße;Fürst von und zu Liechtenstein;48.2287043;16.3546902;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
400;Obere Hauptstraße 199;199;180;;;Obere Hauptstraße;Fürst von und zu Liechtenstein;48.2288127;16.3546592;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
401;Obere Hauptstraße 200;200;206;;;Obere Hauptstraße;Fürst von und zu Liechtenstein;48.2289202;16.3546476;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
402;Freythofgasse 201;201;179;;;Freythofgasse;Fürst von und zu Liechtenstein;48.2297589;16.3550634;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
403;An der Nußdorfer Linie 202;202;200;;K. K. Linien Wachstube;An der Nußdorfer Linie;Magistrat der Stadt Wien;48.2306794;16.3544952;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
404;An der Nußdorfer Linie 203;203;201;;K. K. Wegemauth-Einnehmerhaus;An der Nußdorfer Linie;Magistrat der Stadt Wien;48.2309203;16.354379;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
405;An der Nußdorfer Linie 204;204;202;;K. K. Mauthhaus;An der Nußdorfer Linie;Magistrat der Stadt Wien;48.2306949;16.3547819;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
406;Freythofgasse 207;207;;;;Freythofgasse;Fürst von und zu Liechtenstein;48.2291843;16.3545908;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
407;Freythofgasse 208;208;;;;Freythofgasse;Fürst von und zu Liechtenstein;48.2294424;16.3545081;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
408;Freythofgasse 209;209;;;;Freythofgasse;Fürst von und zu Liechtenstein;48.2297177;16.3544203;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
409;Freythofgasse 210;210;;;;Freythofgasse;Fürst von und zu Liechtenstein;48.2291172;16.3550402;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
410;Freythofgasse 211;211;;;;Freythofgasse;Fürst von und zu Liechtenstein;48.2293994;16.3551151;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
411;Spitlauergasse 206;206;;;;Spitlauergasse;Fürst von und zu Liechtenstein;48.2291275;16.3581537;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
