id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;Latitude;Longitude;reference;Viertel
258;Fuhrmannsgasse 76;76;;;;Fuhrmannsgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2034267;16.3552664;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
259;Fuhrmannsgasse 77;77;;;;Fuhrmannsgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2033444;16.3552745;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
260;Fuhrmannsgasse 78;78;;;;Fuhrmannsgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2032372;16.3553232;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
261;Fuhrmannsgasse 79;79;;;;Fuhrmannsgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2031084;16.3553833;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
262;Fuhrmannsgasse 80;80;;;;Fuhrmannsgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2030034;16.3554402;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
263;Fuhrmannsgasse 81;81;;;;Fuhrmannsgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2029135;16.3554808;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
264;Fuhrmannsgasse 82;82;;;;Fuhrmannsgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2026505;16.3555604;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
265;Fuhrmannsgasse 83;83;;;;Fuhrmannsgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2026905;16.3553687;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
266;Fuhrmannsgasse 84;84;;;;Fuhrmannsgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2033347;16.3551137;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
267;Fuhrmannsgasse 85;85;;;;Fuhrmannsgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.203444;16.3550828;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
268;Fuhrmannsgasse 86;86;;;;Fuhrmannsgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2035458;16.3550601;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
