id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;Latitude;Longitude;reference;Viertel
300;Faﬂziehergasse 118;118;;;;Faﬂziehergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.205135;16.3543844;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
301;Faﬂziehergasse 119;119;;;;Faﬂziehergasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2051491;16.3548424;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
302;Kandlgasse 120;120;;;;Kandlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2052455;16.3548343;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
303;Platzel Hauptstraﬂe 121;121;;;;Platzel Hauptstraﬂe;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2052985;16.3545712;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
304;Kandlgasse 122;122;;;;Kandlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2049044;16.3547612;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
305;Kandlgasse 123;123;;;;Kandlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2047518;16.354771;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
306;Kandlgasse 124;124;;;;Kandlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2046338;16.3547774;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
307;Kandlgasse 125;125;;;;Kandlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2045061;16.3548067;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
308;Kandlgasse 126;126;;;;Kandlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2044303;16.3552713;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
309;Kandlgasse 127;127;;;;Kandlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2045223;16.3549805;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
310;Kandlgasse 128;128;;;;Kandlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2046847;16.3549513;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
311;Kandlgasse 129;129;;;;Kandlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2048893;16.3549058;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
312;Platzel Hauptstraﬂe 130;130;;;;Platzel Hauptstraﬂe;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2053613;16.3550958;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
313;Platzel Hauptstraﬂe 131;131;;;;Platzel Hauptstraﬂe;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2053775;16.3553314;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
314;Platzel Hauptstraﬂe 132;132;;;;Platzel Hauptstraﬂe;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2053992;16.3555848;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
315;Platzel Hauptstraﬂe 133;133;;;;Platzel Hauptstraﬂe;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2054176;16.3558333;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
316;Am Glacis 134;134;;;;Am Glacis;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2051524;16.3563076;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
317;Am Glacis 135;135;;;;Am Glacis;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2047561;16.3566049;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
318;Am Glacis 136;136;;;;Am Glacis;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2043123;16.3555653;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
319;Am Glacis 137;137;;;;Am Glacis;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2042668;16.3553265;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
320;Kirchberggasse 138;138;;;;Kirchberggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2042224;16.3550585;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
321;Kirchberggasse 139;139;;;Kirchbergische Stiftung;Kirchberggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2045147;16.3557813;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
322;Kirchberggasse 140;140;;;;Kirchberggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2047128;16.3556871;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
323;Kirchberggasse 141;141;;;;Kirchberggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2049174;16.3556124;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
324;Kirchberggasse 142;142;;;;Kirchberggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2051827;16.3553817;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
325;Kirchberggasse 143;143;;;;Kirchberggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2050203;16.3550877;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
326;Kirchberggasse 144;144;;;;Kirchberggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2049976;16.3553655;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
327;Kirchberggasse 145;145;;;;Kirchberggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2047821;16.3554613;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
328;Kirchberggasse 146;146;;;;Kirchberggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2046089;16.355536;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
