id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;Viertel;Latitude;Longitude;reference
534;Neustiftgasse 59;59;28;16;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2056897;16.3506418;Behsel Stadtplan, WStLA, P1: 295/12G
535;Neustiftgasse 60;60;27;17;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2056636;16.3513676;Behsel Stadtplan, WStLA, P1: 295/12G
536;Neustiftgasse 61;61;86;75;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2053827;16.3515064;Behsel Stadtplan, WStLA, P1: 295/12G
537;Neustiftgasse 62;62;85;74;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2051977;16.351236;Behsel Stadtplan, WStLA, P1: 295/12G
538;Neustiftgasse 63;63;84;73;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2052096;16.3510652;Behsel Stadtplan, WStLA, P1: 295/12G
539;Neustiftgasse 64;64;83;72;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2052179;16.3509176;Behsel Stadtplan, WStLA, P1: 295/12G
540;Neustiftgasse 65;65;82;71;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2052321;16.350761;Behsel Stadtplan, WStLA, P1: 295/12G
541;Neustiftgasse 66;66;81;70;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2052428;16.3506276;Behsel Stadtplan, WStLA, P1: 295/12G
542;Neustiftgasse 67;67;80;69;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2052558;16.3504372;Behsel Stadtplan, WStLA, P1: 295/12G
543;Neustiftgasse 68;68;79;68;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2052688;16.3502327;Behsel Stadtplan, WStLA, P1: 295/12G
544;Neustiftgasse 69;69;78;67;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.205289;16.3500281;Behsel Stadtplan, WStLA, P1: 295/12G
545;Neustiftgasse 70;70;77;66;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2053056;16.349836;Behsel Stadtplan, WStLA, P1: 295/12G
546;Neustiftgasse 71;71;76;65;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2053198;16.349683;Behsel Stadtplan, WStLA, P1: 295/12G
547;Neustiftgasse 72;72;75;64;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2053246;16.3495727;Behsel Stadtplan, WStLA, P1: 295/12G
548;Neustiftgasse 73;73;74;60;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2053305;16.3494606;Behsel Stadtplan, WStLA, P1: 295/12G
549;Neustiftgasse 74;74;73;62;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2053388;16.3493094;Behsel Stadtplan, WStLA, P1: 295/12G
550;Neustiftgasse 75;75;72;61;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2053435;16.3491564;Behsel Stadtplan, WStLA, P1: 295/12G
551;Stˆhrergasse 76;76;297;;;Stˆhrergasse;Stift Schotten;Neubau;Neubau;48.2046298;16.3489287;Behsel Stadtplan, WStLA, P1: 295/12G
552;Stˆhrergasse 77;77;298;;;Stˆhrergasse;Stift Schotten;Neubau;Neubau;48.2048183;16.3489323;Behsel Stadtplan, WStLA, P1: 295/12G
553;Wendelstadt 118;118;;;;Wendelstadt;Stift Schotten;Neubau;Neubau;48.2048337;16.3493219;Behsel Stadtplan, WStLA, P1: 295/12G
554;Stˆhrergasse 78;78;71;60;;Stˆhrergasse;Stift Schotten;Neubau;Neubau;48.2053661;16.3489625;Behsel Stadtplan, WStLA, P1: 295/12G
555;Neustiftgasse 79;79;70;59;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2053815;16.3487846;Behsel Stadtplan, WStLA, P1: 295/12G
556;Neustiftgasse 80;80;308;;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2053969;16.3486067;Behsel Stadtplan, WStLA, P1: 295/12G
557;Neustiftgasse 81;81;69;58;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2054111;16.3484075;Behsel Stadtplan, WStLA, P1: 295/12G
558;Neustiftgasse 82;82;68;57;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2054289;16.3481993;Behsel Stadtplan, WStLA, P1: 295/12G
559;Neustiftgasse 83;83;67;56;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2054431;16.3480001;Behsel Stadtplan, WStLA, P1: 295/12G
560;Neustiftgasse 84;84;66;55;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2054562;16.3477884;Behsel Stadtplan, WStLA, P1: 295/12G
561;Kleine Rosmaringasse 85;85;300;;;Kleine Rosmaringasse;Stift Schotten;Neubau;Neubau;48.2046725;16.347566;Behsel Stadtplan, WStLA, P1: 295/12G
562;Kleine Rosmaringasse 86;86;301;;;Kleine Rosmaringasse;Stift Schotten;Neubau;Neubau;48.204925;16.3475696;Behsel Stadtplan, WStLA, P1: 295/12G
563;Kleine Rosmaringasse 87;87;302;;;Kleine Rosmaringasse;Stift Schotten;Neubau;Neubau;48.2051799;16.3475767;Behsel Stadtplan, WStLA, P1: 295/12G
564;Neustiftgasse 88;88;65;54;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2054953;16.3474913;Behsel Stadtplan, WStLA, P1: 295/12G
565;Neustiftgasse 89;89;64;53;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2055012;16.3472654;Behsel Stadtplan, WStLA, P1: 295/12G
566;Neustiftgasse 90;90;63;52;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2055166;16.3470893;Behsel Stadtplan, WStLA, P1: 295/12G
567;Neustiftgasse 91;91;62;51;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2055332;16.3468954;Behsel Stadtplan, WStLA, P1: 295/12G
568;Neustiftgasse 92;92;61;50;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2055534;16.3466944;Behsel Stadtplan, WStLA, P1: 295/12G
569;Neustiftgasse 93;93;60;49;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2055546;16.3464827;Behsel Stadtplan, WStLA, P1: 295/12G
570;Neustiftgasse 94;94;59;48;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2055605;16.346255;Behsel Stadtplan, WStLA, P1: 295/12G
571;Neustiftgasse 95;95;58;47;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.20557;16.3460789;Behsel Stadtplan, WStLA, P1: 295/12G
572;Neustiftgasse 96;96;57;46;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2055866;16.3458814;Behsel Stadtplan, WStLA, P1: 295/12G
573;Neustiftgasse 97;97;56;45;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2055866;16.3456733;Behsel Stadtplan, WStLA, P1: 295/12G
574;Neustiftgasse 98;98;55;44;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2055937;16.3454633;Behsel Stadtplan, WStLA, P1: 295/12G
575;Neustiftgasse 99;99;54;43;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2056103;16.3452979;Behsel Stadtplan, WStLA, P1: 295/12G
576;Neustiftgasse 100;100;53;42;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2056115;16.3450684;Behsel Stadtplan, WStLA, P1: 295/12G
577;Zieglergasse 307;307;;;;Zieglergasse;Stift Schotten;Neubau;Neubau;48.2052831;16.3449973;Behsel Stadtplan, WStLA, P1: 295/12G
578;Zieglergasse 101;101;111;;;Zieglergasse;Stift Schotten;Neubau;Neubau;48.2051289;16.344999;Behsel Stadtplan, WStLA, P1: 295/12G
579;Zieglergasse 102;102;110;93;;Zieglergasse;Stift Schotten;Neubau;Neubau;48.2049831;16.3449955;Behsel Stadtplan, WStLA, P1: 295/12G
580;Zieglergasse 103;103;109;92;;Zieglergasse;Stift Schotten;Neubau;Neubau;48.204848;16.3450257;Behsel Stadtplan, WStLA, P1: 295/12G
581;Zieglergasse 104;104;108;91;;Zieglergasse;Stift Schotten;Neubau;Neubau;48.2046974;16.3450311;Behsel Stadtplan, WStLA, P1: 295/12G
582;Rittergasse 105;105;107;90;;Rittergasse;Stift Schotten;Neubau;Neubau;48.2043737;16.3451147;Behsel Stadtplan, WStLA, P1: 295/12G
583;Rittergasse 106;106;106;259;;Rittergasse;Stift Schotten;Neubau;Neubau;48.2044045;16.3457071;Behsel Stadtplan, WStLA, P1: 295/12G
584;Rittergasse 107;107;107;254;;Rittergasse;Stift Schotten;Neubau;Neubau;48.2043998;16.3461127;Behsel Stadtplan, WStLA, P1: 295/12G
585;Rittergasse 108;108;105;89;;Rittergasse;Stift Schotten;Neubau;Neubau;48.2043998;16.3462994;Behsel Stadtplan, WStLA, P1: 295/12G
586;Rittergasse 109;109;264;;;Rittergasse;Stift Schotten;Neubau;Neubau;48.2043974;16.346504;Behsel Stadtplan, WStLA, P1: 295/12G
587;Rittergasse 110;110;103;88;;Rittergasse;Stift Schotten;Neubau;Neubau;48.2043951;16.3466979;Behsel Stadtplan, WStLA, P1: 295/12G
588;Rittergasse 111;111;293;;;Rittergasse;Stift Schotten;Neubau;Neubau;48.2043927;16.3470875;Behsel Stadtplan, WStLA, P1: 295/12G
589;Rittergasse 112;112;299;;;Rittergasse;Stift Schotten;Neubau;Neubau;48.2043785;16.3474967;Behsel Stadtplan, WStLA, P1: 295/12G
590;Rittergasse 113;113;102;247;;Rittergasse;Stift Schotten;Neubau;Neubau;48.2043358;16.3480695;Behsel Stadtplan, WStLA, P1: 295/12G
591;Rittergasse 114;114;101;87;;Rittergasse;Stift Schotten;Neubau;Neubau;48.2043263;16.3482563;Behsel Stadtplan, WStLA, P1: 295/12G
592;Rittergasse 115;115;100;86;;Rittergasse;Stift Schotten;Neubau;Neubau;48.2043109;16.3485373;Behsel Stadtplan, WStLA, P1: 295/12G
593;Rittergasse 116;116;99;85;;Rittergasse;Stift Schotten;Neubau;Neubau;48.2043026;16.3488487;Behsel Stadtplan, WStLA, P1: 295/12G
594;Wendelstadt 117;117;98;84;;Wendelstadt;Stift Schotten;Neubau;Neubau;48.2042824;16.349071;Behsel Stadtplan, WStLA, P1: 295/12G
595;Wendelstadt 118;118;;;;Wendelstadt;Stift Schotten;Neubau;Neubau;48.2042895;16.3492222;Behsel Stadtplan, WStLA, P1: 295/12G
596;Wendelstadt 119;119;97;83;;Wendelstadt;Stift Schotten;Neubau;Neubau;48.204267;16.3493468;Behsel Stadtplan, WStLA, P1: 295/12G
597;Wendelstadt 120;120;96;82;;Wendelstadt;Stift Schotten;Neubau;Neubau;48.2042552;16.3494553;Behsel Stadtplan, WStLA, P1: 295/12G
598;Wendelstadt 121;121;95;982;;Wendelstadt;Stift Schotten;Neubau;Neubau;48.2042279;16.3497079;Behsel Stadtplan, WStLA, P1: 295/12G
599;Wendelstadt 122;122;94;81;;Wendelstadt;Stift Schotten;Neubau;Neubau;48.2042042;16.3499214;Behsel Stadtplan, WStLA, P1: 295/12G
600;Wendelstadt 123;123;93;257;;Wendelstadt;Stift Schotten;Neubau;Neubau;48.2041805;16.3501153;Behsel Stadtplan, WStLA, P1: 295/12G
601;Wendelstadt 124;124;92;256;;Wendelstadt;Stift Schotten;Neubau;Neubau;48.2041591;16.3503109;Behsel Stadtplan, WStLA, P1: 295/12G
602;Wendelstadt 125;125;91;80;;Wendelstadt;Stift Schotten;Neubau;Neubau;48.2041318;16.3504853;Behsel Stadtplan, WStLA, P1: 295/12G
603;Wendelstadt 126;126;90;79;;Wendelstadt;Stift Schotten;Neubau;Neubau;48.2041271;16.3506614;Behsel Stadtplan, WStLA, P1: 295/12G
604;Wendelstadt 127;127;89;78;;Wendelstadt;Stift Schotten;Neubau;Neubau;48.2041271;16.3508197;Behsel Stadtplan, WStLA, P1: 295/12G
605;3 H¸tengasse 128;128;88;77;;3 H¸tengasse;Stift Schotten;Neubau;Neubau;48.2042741;16.351357;Behsel Stadtplan, WStLA, P1: 295/12G
606;3 H¸tengasse 129;129;87;76;;3 H¸tengasse;Stift Schotten;Neubau;Neubau;48.204446;16.3514939;Behsel Stadtplan, WStLA, P1: 295/12G
607;Wendelstadt 130;130;222;200;;Wendelstadt;Stift Schotten;Neubau;Neubau;48.2040109;16.3509638;Behsel Stadtplan, WStLA, P1: 295/12G
608;Wendelstadt 131;131;223;201;;Wendelstadt;Stift Schotten;Neubau;Neubau;48.2040192;16.3511702;Behsel Stadtplan, WStLA, P1: 295/12G
609;Luftsch¸tzgasse 132;132;224;202;;Luftsch¸tzgasse;Stift Schotten;Neubau;Neubau;48.2037299;16.3513552;Behsel Stadtplan, WStLA, P1: 295/12G
610;Luftsch¸tzgasse 133;133;225;203;;Luftsch¸tzgasse;Stift Schotten;Neubau;Neubau;48.2036339;16.3513747;Behsel Stadtplan, WStLA, P1: 295/12G
611;Luftsch¸tzgasse 134;134;226;204;;Luftsch¸tzgasse;Stift Schotten;Neubau;Neubau;48.2035426;16.3513979;Behsel Stadtplan, WStLA, P1: 295/12G
612;Luftsch¸tzgasse 135;135;227;205;;Luftsch¸tzgasse;Stift Schotten;Neubau;Neubau;48.2034264;16.3514139;Behsel Stadtplan, WStLA, P1: 295/12G
613;Luftsch¸tzgasse 136;136;228;206;;Luftsch¸tzgasse;Stift Schotten;Neubau;Neubau;48.2032521;16.3514566;Behsel Stadtplan, WStLA, P1: 295/12G
614;Luftsch¸tzgasse 137;137;229;207;;Luftsch¸tzgasse;Stift Schotten;Neubau;Neubau;48.203092;16.3514815;Behsel Stadtplan, WStLA, P1: 295/12G
615;Luftsch¸tzgasse 138;138;230;208;;Luftsch¸tzgasse;Stift Schotten;Neubau;Neubau;48.2029201;16.3515082;Behsel Stadtplan, WStLA, P1: 295/12G
616;Luftsch¸tzgasse 139;139;231;209;;Luftsch¸tzgasse;Stift Schotten;Neubau;Neubau;48.2027944;16.3515509;Behsel Stadtplan, WStLA, P1: 295/12G
617;Holzplatzerl 140;140;232;210;;Holzplatzerl;Stift Schotten;Neubau;Neubau;48.2025407;16.3515847;Behsel Stadtplan, WStLA, P1: 295/12G
618;Holzplatzerl 141;141;292;;;Holzplatzerl;Stift Schotten;Neubau;Neubau;48.2023593;16.3512751;Behsel Stadtplan, WStLA, P1: 295/12G
619;Holzplatzerl 142;142;221;199;;Holzplatzerl;Stift Schotten;Neubau;Neubau;48.2023451;16.3511026;Behsel Stadtplan, WStLA, P1: 295/12G
620;Stuckgasse 143;143;272;;;Stuckgasse;Stift Schotten;Neubau;Neubau;48.2024494;16.3508162;Behsel Stadtplan, WStLA, P1: 295/12G
621;Stuckgasse 144;144;273;;;Stuckgasse;Stift Schotten;Neubau;Neubau;48.2026652;16.3507663;Behsel Stadtplan, WStLA, P1: 295/12G
622;Stuckgasse 145;145;274;;;Stuckgasse;Stift Schotten;Neubau;Neubau;48.2028395;16.3507254;Behsel Stadtplan, WStLA, P1: 295/12G
623;Stuckgasse 146;146;275;;;Stuckgasse;Stift Schotten;Neubau;Neubau;48.2030707;16.3506792;Behsel Stadtplan, WStLA, P1: 295/12G
624;Stuckgasse 147;147;276;;;Stuckgasse;Stift Schotten;Neubau;Neubau;48.2032877;16.3506223;Behsel Stadtplan, WStLA, P1: 295/12G
625;Stuckgasse 148;148;277;;;Stuckgasse;Stift Schotten;Neubau;Neubau;48.2035129;16.3505867;Behsel Stadtplan, WStLA, P1: 295/12G
626;Stuckgasse 149;149;278;;;Stuckgasse;Stift Schotten;Neubau;Neubau;48.2037382;16.3505333;Behsel Stadtplan, WStLA, P1: 295/12G
627;Stuckgasse 150;150;279;;;Stuckgasse;Stift Schotten;Neubau;Neubau;48.2039564;16.350496;Behsel Stadtplan, WStLA, P1: 295/12G
628;Stuckgasse 151;151;220;198;;Stuckgasse;Stift Schotten;Neubau;Neubau;48.2039706;16.3503394;Behsel Stadtplan, WStLA, P1: 295/12G
629;Stuckgasse 152;152;265;;;Stuckgasse;Stift Schotten;Neubau;Neubau;48.2037216;16.3503928;Behsel Stadtplan, WStLA, P1: 295/12G
630;Stuckgasse 153;153;266;;;Stuckgasse;Stift Schotten;Neubau;Neubau;48.2034892;16.350439;Behsel Stadtplan, WStLA, P1: 295/12G
631;Stuckgasse 154;154;267;;;Stuckgasse;Stift Schotten;Neubau;Neubau;48.2032663;16.3504906;Behsel Stadtplan, WStLA, P1: 295/12G
632;Stuckgasse 155;155;268;;;Stuckgasse;Stift Schotten;Neubau;Neubau;48.2030268;16.3505404;Behsel Stadtplan, WStLA, P1: 295/12G
633;Stuckgasse 156;156;269;;;Stuckgasse;Stift Schotten;Neubau;Neubau;48.2028146;16.350592;Behsel Stadtplan, WStLA, P1: 295/12G
634;Stuckgasse 157;157;270;;;Stuckgasse;Stift Schotten;Neubau;Neubau;48.2026273;16.3506258;Behsel Stadtplan, WStLA, P1: 295/12G
635;Stuckgasse 158;158;271;;;Stuckgasse;Stift Schotten;Neubau;Neubau;48.2023107;16.3506667;Behsel Stadtplan, WStLA, P1: 295/12G
636;Schwabengasse 159;159;233;211;;Schwabengasse;Stift Schotten;Neubau;Neubau;48.2022751;16.3502167;Behsel Stadtplan, WStLA, P1: 295/12G
637;Leichenhofgasse 160;160;246;245;;Leichenhofgasse;Stift Schotten;Neubau;Neubau;48.2020759;16.3503732;Behsel Stadtplan, WStLA, P1: 295/12G
638;Schwabengasse 161;161;247;246;;Schwabengasse;Stift Schotten;Neubau;Neubau;48.2021945;16.3507165;Behsel Stadtplan, WStLA, P1: 295/12G
639;Holzplatzerl 162;162;248;227;;Holzplatzerl;Stift Schotten;Neubau;Neubau;48.2021459;16.3510937;Behsel Stadtplan, WStLA, P1: 295/12G
640;Holzplatzerl 163;163;249;228;;Holzplatzerl;Stift Schotten;Neubau;Neubau;48.2019313;16.3511381;Behsel Stadtplan, WStLA, P1: 295/12G
641;Mondscheingasse 164;164;250;229;;Mondscheingasse;Stift Schotten;Neubau;Neubau;48.2017712;16.3511577;Behsel Stadtplan, WStLA, P1: 295/12G
642;Mondscheingasse 165;165;"251;252";"230;231";;Mondscheingasse;Stift Schotten;Neubau;Neubau;48.201591;16.3511275;Behsel Stadtplan, WStLA, P1: 295/12G
643;Mondscheingasse 166;166;253;232;;Mondscheingasse;Stift Schotten;Neubau;Neubau;48.2014369;16.3509514;Behsel Stadtplan, WStLA, P1: 295/12G
644;Mondscheingasse 167;167;254;233;;Mondscheingasse;Stift Schotten;Neubau;Neubau;48.201323;16.3508144;Behsel Stadtplan, WStLA, P1: 295/12G
645;Mondscheingasse 168;168;255;234;;Mondscheingasse;Stift Schotten;Neubau;Neubau;48.2012211;16.3506863;Behsel Stadtplan, WStLA, P1: 295/12G
646;Leichenhofgasse 169;169;242;222;;Leichenhofgasse;Stift Schotten;Neubau;Neubau;48.2013681;16.3505351;Behsel Stadtplan, WStLA, P1: 295/12G
647;Leichenhofgasse 170;170;243;223;;Leichenhofgasse;Stift Schotten;Neubau;Neubau;48.2014914;16.3505048;Behsel Stadtplan, WStLA, P1: 295/12G
648;Leichenhofgasse 171;171;244;224;;Leichenhofgasse;Stift Schotten;Neubau;Neubau;48.2016254;16.350471;Behsel Stadtplan, WStLA, P1: 295/12G
649;Leichenhofgasse 172;172;245;225;;Leichenhofgasse;Stift Schotten;Neubau;Neubau;48.2017724;16.3504426;Behsel Stadtplan, WStLA, P1: 295/12G
650;Leichenhofgasse 173;173;291;;;Leichenhofgasse;Stift Schotten;Neubau;Neubau;48.2019016;16.3504195;Behsel Stadtplan, WStLA, P1: 295/12G
651;Schwabengasse 174;174;234;212;;Schwabengasse;Stift Schotten;Neubau;Neubau;48.2021471;16.3499463;Behsel Stadtplan, WStLA, P1: 295/12G
652;Schwabengasse 175;175;235;213;;Schwabengasse;Stift Schotten;Neubau;Neubau;48.2021115;16.3501491;Behsel Stadtplan, WStLA, P1: 295/12G
653;Leichenhofgasse 176;176;236;214;;Leichenhofgasse;Stift Schotten;Neubau;Neubau;48.2019526;16.3501971;Behsel Stadtplan, WStLA, P1: 295/12G
654;Leichenhofgasse 177;177;237;215;von Zoller'sches Stiftungshaus;Leichenhofgasse;Stift Schotten;Neubau;Neubau;48.2017997;16.3502362;Behsel Stadtplan, WStLA, P1: 295/12G
655;Leichenhofgasse 178;178;238;216;;Leichenhofgasse;Stift Schotten;Neubau;Neubau;48.201642;16.3502665;Behsel Stadtplan, WStLA, P1: 295/12G
656;Leichenhofgasse 179;179;239;217;;Leichenhofgasse;Stift Schotten;Neubau;Neubau;48.2014772;16.3503198;Behsel Stadtplan, WStLA, P1: 295/12G
657;Leichenhofgasse 180;180;240;218;;Leichenhofgasse;Stift Schotten;Neubau;Neubau;48.2013183;16.350359;Behsel Stadtplan, WStLA, P1: 295/12G
658;Leichenhofgasse 181;181;241;219;;Leichenhofgasse;Stift Schotten;Neubau;Neubau;48.201112;16.3503963;Behsel Stadtplan, WStLA, P1: 295/12G
659;Krongasse 182;182;198;220;;Krongasse;Stift Schotten;Neubau;Neubau;48.2010005;16.3501295;Behsel Stadtplan, WStLA, P1: 295/12G
660;Krongasse 183;183;199;221;;Krongasse;Stift Schotten;Neubau;Neubau;48.2009993;16.3499;Behsel Stadtplan, WStLA, P1: 295/12G
661;Rittergasse 184;184;306;235;;Rittergasse;Stift Schotten;Neubau;Neubau;48.200793;16.3504497;Behsel Stadtplan, WStLA, P1: 295/12G
662;Rittergasse 185;185;256;;;Rittergasse;Stift Schotten;Neubau;Neubau;48.2006223;16.3504764;Behsel Stadtplan, WStLA, P1: 295/12G
663;Rittergasse 186;186;263;;;Rittergasse;Stift Schotten;Neubau;Neubau;48.2005037;16.3505102;Behsel Stadtplan, WStLA, P1: 295/12G
664;Rittergasse 187;187;257;236;;Rittergasse;Stift Schotten;Neubau;Neubau;48.2002725;16.350528;Behsel Stadtplan, WStLA, P1: 295/12G
665;Rittergasse 188;188;258;;;Rittergasse;Stift Schotten;Neubau;Neubau;48.2001029;16.350576;Behsel Stadtplan, WStLA, P1: 295/12G
666;Rittergasse 189;189;259;251;;Rittergasse;Stift Schotten;Neubau;Neubau;48.1996879;16.3507254;Behsel Stadtplan, WStLA, P1: 295/12G
667;Rittergasse 190;190;296;;;Rittergasse;Stift Schotten;Neubau;Neubau;48.199471;16.3508446;Behsel Stadtplan, WStLA, P1: 295/12G
668;Rittergasse 191;191;260;239;;Rittergasse;Stift Schotten;Neubau;Neubau;48.199369;16.3509051;Behsel Stadtplan, WStLA, P1: 295/12G
669;Rittergasse 192;192;261;238;;Rittergasse;Stift Schotten;Neubau;Neubau;48.1992646;16.3509763;Behsel Stadtplan, WStLA, P1: 295/12G
670;Rittergasse 193;193;262;237;;Rittergasse;Stift Schotten;Neubau;Neubau;48.1990678;16.3511115;Behsel Stadtplan, WStLA, P1: 295/12G
671;Mariahilfer-Hauptstraﬂe 194;194;179;161;;Mariahilfer-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1989729;16.3511933;Behsel Stadtplan, WStLA, P1: 295/12G
672;Mariahilfer-Hauptstraﬂe 195;195;180;253;;Mariahilfer-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1987322;16.3507059;Behsel Stadtplan, WStLA, P1: 295/12G
673;Mariahilfer-Hauptstraﬂe 196;196;181;260;;Mariahilfer-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.198622;16.3504426;Behsel Stadtplan, WStLA, P1: 295/12G
674;Mariahilfer-Hauptstraﬂe 197;197;182;162;;Mariahilfer-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1985579;16.3500975;Behsel Stadtplan, WStLA, P1: 295/12G
675;Neubau-Hauptstraﬂe 198;198;183;163;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1986931;16.3499996;Behsel Stadtplan, WStLA, P1: 295/12G
676;Neubau-Hauptstraﬂe 199;199;184;164;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1988247;16.3499267;Behsel Stadtplan, WStLA, P1: 295/12G
677;Neubau-Hauptstraﬂe 200;200;185;165;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1989457;16.3498573;Behsel Stadtplan, WStLA, P1: 295/12G
678;Neubau-Hauptstraﬂe 201;201;186;166;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1990726;16.3497862;Behsel Stadtplan, WStLA, P1: 295/12G
679;Neubau-Hauptstraﬂe 202;202;187;167;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1992184;16.3497061;Behsel Stadtplan, WStLA, P1: 295/12G
680;Neubau-Hauptstraﬂe 203;203;188;168;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1993465;16.3496474;Behsel Stadtplan, WStLA, P1: 295/12G
681;Neubau-Hauptstraﬂe 204;204;189;169;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.199484;16.3495923;Behsel Stadtplan, WStLA, P1: 295/12G
682;Neubau-Hauptstraﬂe 205;205;190;170;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1996121;16.3495513;Behsel Stadtplan, WStLA, P1: 295/12G
683;Neubau-Hauptstraﬂe 206;206;191;171;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1997579;16.3494944;Behsel Stadtplan, WStLA, P1: 295/12G
684;Neubau-Hauptstraﬂe 207;207;192;172;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1999618;16.3494268;Behsel Stadtplan, WStLA, P1: 295/12G
685;Neubau-Hauptstraﬂe 208;208;193;173;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.2001646;16.3493628;Behsel Stadtplan, WStLA, P1: 295/12G
686;Neubau-Hauptstraﬂe 209;209;194;174;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.2003164;16.3493307;Behsel Stadtplan, WStLA, P1: 295/12G
687;Neubau-Hauptstraﬂe 210;210;195;175;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.2004397;16.3493076;Behsel Stadtplan, WStLA, P1: 295/12G
688;Neubau-Hauptstraﬂe 211;211;196;176;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.2005808;16.3492809;Behsel Stadtplan, WStLA, P1: 295/12G
689;Neubau-Hauptstraﬂe 212;212;197;177;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.200793;16.3492596;Behsel Stadtplan, WStLA, P1: 295/12G
690;Neubau-Hauptstraﬂe 213;213;200;178;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.2012294;16.3491991;Behsel Stadtplan, WStLA, P1: 295/12G
691;Neubau-Hauptstraﬂe 216;216;203;181;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.201776;16.3491813;Behsel Stadtplan, WStLA, P1: 295/12G
692;Neubau-Hauptstraﬂe 217;217;204;182;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.2019206;16.3491742;Behsel Stadtplan, WStLA, P1: 295/12G
693;Neubau-Hauptstraﬂe 215;215;202;180;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.201623;16.3491884;Behsel Stadtplan, WStLA, P1: 295/12G
694;Neubau-Hauptstraﬂe 214;214;201;179;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.2014867;16.3491849;Behsel Stadtplan, WStLA, P1: 295/12G
695;Neubau-Hauptstraﬂe 218;218;205;183;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.2020771;16.3491742;Behsel Stadtplan, WStLA, P1: 295/12G
