id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;Viertel;Latitude;Longitude;reference
732;Neubau-Hauptstraﬂe 255;255;134;115;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.2013313;16.3489945;Behsel Stadtplan, WStLA, P1: 295/12G
733;Neubau-Hauptstraﬂe 256;256;135;116;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.2011914;16.3490016;Behsel Stadtplan, WStLA, P1: 295/12G
734;Neubau-Hauptstraﬂe 257;257;136;117;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.2010432;16.3490248;Behsel Stadtplan, WStLA, P1: 295/12G
735;Neubau-Hauptstraﬂe 258;258;137;118;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.200831;16.349039;Behsel Stadtplan, WStLA, P1: 295/12G
736;Neubau-Hauptstraﬂe 259;259;138;119;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.2006164;16.349071;Behsel Stadtplan, WStLA, P1: 295/12G
737;Neubau-Hauptstraﬂe 260;260;139;120;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.2004836;16.3490888;Behsel Stadtplan, WStLA, P1: 295/12G
738;Neubau-Hauptstraﬂe 261;261;140;121;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.2003401;16.3491048;Behsel Stadtplan, WStLA, P1: 295/12G
739;Neubau-Hauptstraﬂe 262;262;141;122;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.2002156;16.3491404;Behsel Stadtplan, WStLA, P1: 295/12G
740;Neubau-Hauptstraﬂe 263;263;142;123;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.2000259;16.3491831;Behsel Stadtplan, WStLA, P1: 295/12G
741;Neubau-Hauptstraﬂe 264;264;155;133;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1997389;16.3492756;Behsel Stadtplan, WStLA, P1: 295/12G
742;Neubau-Hauptstraﬂe 265;265;156;134;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1995599;16.3493432;Behsel Stadtplan, WStLA, P1: 295/12G
743;Neubau-Hauptstraﬂe 266;266;168;150;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1992931;16.3494659;Behsel Stadtplan, WStLA, P1: 295/12G
744;Neubau-Hauptstraﬂe 267;267;169;151;B¸rgerliche Weber-Innung;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.199082;16.3495798;Behsel Stadtplan, WStLA, P1: 295/12G
745;Neubau-Hauptstraﬂe 268;268;170;152;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1988781;16.3496812;Behsel Stadtplan, WStLA, P1: 295/12G
746;Neubau-Hauptstraﬂe 269;269;171;153;;Neubau-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1987714;16.3497417;Behsel Stadtplan, WStLA, P1: 295/12G
747;Mariahilfer-Hauptstraﬂe 270;270;172;154;;Mariahilfer-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1985496;16.3498733;Behsel Stadtplan, WStLA, P1: 295/12G
748;Mariahilfer-Hauptstraﬂe 271;271;173;155;;Mariahilfer-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1980101;16.3488149;Behsel Stadtplan, WStLA, P1: 295/12G
749;Mariahilfer-Hauptstraﬂe 272;272;174;156;;Mariahilfer-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1979307;16.3485498;Behsel Stadtplan, WStLA, P1: 295/12G
750;Mariahilfer-Hauptstraﬂe 273;273;175;157;;Mariahilfer-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1978844;16.3483844;Behsel Stadtplan, WStLA, P1: 295/12G
751;Mariahilfer-Hauptstraﬂe 274;274;176;158;;Mariahilfer-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1978204;16.3481638;Behsel Stadtplan, WStLA, P1: 295/12G
752;Mariahilfer-Hauptstraﬂe 275;275;"289;290";;;Mariahilfer-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1977504;16.3478685;Behsel Stadtplan, WStLA, P1: 295/12G
753;Andreasgasse 276;276;288;;;Andreasgasse;Stift Schotten;Neubau;Neubau;48.198386;16.3474469;Behsel Stadtplan, WStLA, P1: 295/12G
754;Andreasgasse 277;277;287;;;Andreasgasse;Stift Schotten;Neubau;Neubau;48.1986587;16.3473312;Behsel Stadtplan, WStLA, P1: 295/12G
755;Andreasgasse 278;278;284;;;Andreasgasse;Stift Schotten;Neubau;Neubau;48.1989243;16.3472138;Behsel Stadtplan, WStLA, P1: 295/12G
756;Herrngasse 279;279;164;145;;Herrngasse;Stift Schotten;Neubau;Neubau;48.1991022;16.3475803;Behsel Stadtplan, WStLA, P1: 295/12G
757;Herrngasse 280;280;165;146;;Herrngasse;Stift Schotten;Neubau;Neubau;48.1991532;16.3479165;Behsel Stadtplan, WStLA, P1: 295/12G
758;Herrngasse 281;281;166;147;;Herrngasse;Stift Schotten;Neubau;Neubau;48.1992006;16.3482474;Behsel Stadtplan, WStLA, P1: 295/12G
759;Herrngasse 282;282;167;148;;Herrngasse;Stift Schotten;Neubau;Neubau;48.1992326;16.3485658;Behsel Stadtplan, WStLA, P1: 295/12G
760;Herrngasse 283;283;157;135;;Herrngasse;Stift Schotten;Neubau;Neubau;48.1994212;16.3487971;Behsel Stadtplan, WStLA, P1: 295/12G
761;Herrngasse 284;284;158;136;;Herrngasse;Stift Schotten;Neubau;Neubau;48.1993773;16.3485089;Behsel Stadtplan, WStLA, P1: 295/12G
762;Herrngasse 285;285;159;136;;Herrngasse;Stift Schotten;Neubau;Neubau;48.1993441;16.3482741;Behsel Stadtplan, WStLA, P1: 295/12G
763;Herrngasse 286;286;160;137;;Herrngasse;Stift Schotten;Neubau;Neubau;48.1993002;16.3478364;Behsel Stadtplan, WStLA, P1: 295/12G
764;Herrngasse 287;287;161;138;;Herrngasse;Stift Schotten;Neubau;Neubau;48.1992611;16.3475749;Behsel Stadtplan, WStLA, P1: 295/12G
765;Herrngasse 288;288;162;139;;Herrngasse;Stift Schotten;Neubau;Neubau;48.1992172;16.3472031;Behsel Stadtplan, WStLA, P1: 295/12G
